EPOCH_TIME                ALARM_STATUS              INST_STATUS               Delta_High_Conc_Raw_iCH4  C13_Delta_Raw             CH4                       ValveMask                 GPS_ABS_LAT               GPS_ABS_LONG              GPS_FIT                   
1321423383.762            0                         963                       -8.7543604271E+000        -4.2675628544E+001        2.1848792518E+000         5.0000000000E+000         3.7382165828E+001         -1.2197869469E+002        1.0000000000E+000         
1321423384.703            0                         963                       -9.9433565787E+000        -3.7088758747E+001        2.1846007949E+000         5.0000000000E+000         3.7382192847E+001         -1.2197870632E+002        1.0000000000E+000         
1321423385.641            0                         963                       -2.1025759795E+001        -4.4985716438E+001        2.1849242317E+000         5.0000000000E+000         3.7382209820E+001         -1.2197870934E+002        1.0000000000E+000         
1321423386.580            0                         963                       -1.9645913647E+001        -3.7297232441E+001        2.1841298746E+000         5.0000000000E+000         3.7382216661E+001         -1.2197870807E+002        1.0000000000E+000         
1321423387.518            0                         963                       -1.8323565686E+001        -4.3381586325E+001        2.1835023284E+000         5.0000000000E+000         3.7382219039E+001         -1.2197870486E+002        1.0000000000E+000         
1321423388.007            0                         963                       -1.4448956690E+001        -3.4155007723E+001        2.1840707256E+000         5.0000000000E+000         3.7382219264E+001         -1.2197870160E+002        1.0000000000E+000         
1321423388.612            0                         963                       -1.4448956690E+001        -3.4155007723E+001        2.1840707256E+000         5.0000000000E+000         3.7382222665E+001         -1.2197869792E+002        1.0000000000E+000         
1321423389.565            0                         963                       -1.2714921217E+001        -4.2724355696E+001        2.1836012682E+000         5.0000000000E+000         3.7382231864E+001         -1.2197869233E+002        1.0000000000E+000         
1321423390.509            0                         963                       -1.3557694666E+001        -3.8689081240E+001        2.1831342609E+000         5.0000000000E+000         3.7382245661E+001         -1.2197868166E+002        1.0000000000E+000         
1321423391.445            0                         963                       -5.5931804606E+000        -3.5493652864E+001        2.1830011502E+000         5.0000000000E+000         3.7382262312E+001         -1.2197865753E+002        1.0000000000E+000         
1321423392.376            0                         963                       -9.5064597833E+000        -3.5681204869E+001        2.1826143991E+000         5.0000000000E+000         3.7382273718E+001         -1.2197861303E+002        1.0000000000E+000         
1321423393.425            0                         963                       -7.1075851415E+000        -3.8750875370E+001        2.1827697436E+000         5.0000000000E+000         3.7382274831E+001         -1.2197854966E+002        1.0000000000E+000         
1321423393.969            0                         963                       -7.1150047374E+000        -3.7021393901E+001        2.1825059815E+000         5.0000000000E+000         3.7382272215E+001         -1.2197847419E+002        1.0000000000E+000         
1321423394.587            0                         963                       -7.1150047374E+000        -3.7021393901E+001        2.1825059815E+000         5.0000000000E+000         3.7382271016E+001         -1.2197838792E+002        1.0000000000E+000         
1321423395.556            0                         963                       -2.4067185336E+000        -3.4196030251E+001        2.1819769198E+000         5.0000000000E+000         3.7382270558E+001         -1.2197829912E+002        1.0000000000E+000         
1321423399.498            0                         963                       -2.1031503867E+001        -3.9211305649E+001        2.1819729485E+000         5.0000000000E+000         3.7382270280E+001         -1.2197821718E+002        1.0000000000E+000         
1321423400.017            0                         963                       -1.5585988631E+001        -3.8641816320E+001        2.1814773845E+000         5.0000000000E+000         3.7382269289E+001         -1.2197814423E+002        1.0000000000E+000         
1321423400.631            0                         963                       -1.5585988631E+001        -3.8641816320E+001        2.1814773845E+000         5.0000000000E+000         3.7382265572E+001         -1.2197808622E+002        1.0000000000E+000         
1321423401.572            0                         963                       -1.6651291595E+001        -3.2449574665E+001        2.1821967494E+000         6.0000000000E+000         3.7382259768E+001         -1.2197804940E+002        1.0000000000E+000         
1321423402.495            0                         963                       -1.7707440365E+001        -2.9327762469E+001        2.1751871106E+000         6.0000000000E+000         3.7382256696E+001         -1.2197803503E+002        1.0000000000E+000         
