y_parameter,  pressure,   date_time,     slope, intercept,                         comment
          ,          ,            ,          ,          ,         scale(orig)=6.90118e-05
          ,          ,            ,          ,          ,         offset(orig)=   1.67198
          ,          ,            ,          ,          ,                  P(atm)=765.556
          ,          ,            ,          ,          ,             P(cav_open)=757.415
    2.2084,  210.0356,1459962193.2,   47.5546,  105.0178,                                
    2.1593,  209.9481,1459962197.2,    0.0000,    0.0000,                                
    2.1899,  209.9075,1459962201.1,    0.0000,    0.0000,                                
    2.1656,  209.8765,1459962205.1,   47.9266,  104.9537,                                
    2.1523,  209.5546,1459962208.9,    1.2780,  207.1089,                                
    2.1618,  208.8692,1459962213.0,    0.0000,    0.0000,                                
    2.1756,  208.0964,1459962216.9,   48.3094,  104.4346,                                
    2.1387,  207.2192,1459962220.8,  -55.8128,  329.5245,                                
    2.1594,  206.3182,1459962224.6,  -55.8128,  329.5245,                                
    2.1197,  205.4057,1459962228.5,   27.3270,  148.6299,                                
    2.1163,  204.4710,1459962232.3,   27.3270,  148.6299,                                
    2.1481,  203.5368,1459962236.3,   20.7521,  162.4300,                                
    2.1245,  202.5498,1459962240.3,   54.5223,   88.7715,                                
    2.0763,  201.6047,1459962244.3,   55.5404,   86.4954,                                
    2.1524,  200.6691,1459962248.2,   55.5404,   86.4954,                                
    2.1270,  199.6988,1459962252.2,   34.1456,  132.0343,                                
    2.0658,  198.7990,1459962256.1,   -8.6638,  222.8247,                                
    2.0537,  197.8494,1459962260.0,   27.6702,  144.5828,                                
    2.0477,  196.9566,1459962263.9,   47.1932,  102.8443,                                
    2.0154,  196.0268,1459962267.8,   56.4843,   83.0054,                                
    2.1165,  195.1231,1459962271.6,   56.4709,   82.5682,                                
    2.1802,  194.2012,1459962275.6,   56.4709,   82.5682,                                
    2.0721,  193.2405,1459962279.6,   53.3029,   88.6690,                                
    2.0401,  192.3034,1459962283.7,   53.3029,   88.6690,                                
    2.0776,  191.3683,1459962287.6,   55.1296,   84.1279,                                
    2.0187,  190.4390,1459962291.6,   55.1296,   84.1279,                                
    2.0475,  189.5285,1459962295.5,   68.5520,   55.6518,                                
    1.9486,  188.6189,1459962299.4,   65.2289,   62.2983,                                
    2.0156,  187.7322,1459962303.3,   73.3170,   45.2074,                                
    2.0258,  186.8012,1459962307.1,   73.7025,   43.7436,                                
    2.0310,  185.9353,1459962311.0,   73.7025,   43.7436,                                
    2.0529,  184.9871,1459962314.9,   82.1572,   25.9116,                                
    1.9646,  184.0680,1459962319.0,   89.6847,    9.9878,                                
    1.9440,  183.1453,1459962322.9,   96.4718,   -4.4029,                                
    1.9919,  182.2580,1459962326.8,   96.4718,   -4.4029,                                
    1.9551,  181.3736,1459962330.7,   94.0985,   -0.1966,                                
    1.9468,  180.4666,1459962334.5,   94.0985,   -0.1966,                                
    1.9373,  179.5765,1459962338.5,   95.3920,   -2.8961,                                
    1.9503,  178.6634,1459962342.3,  101.8899,  -16.5150,                                
    1.9513,  177.7829,1459962346.2,  101.8899,  -16.5150,                                
    1.9604,  176.8806,1459962350.1,   99.3558,  -11.3643,                                
    1.8922,  175.9538,1459962354.2,   99.1115,  -10.6639,                                
    1.9742,  175.0837,1459962358.0,  102.7492,  -18.1920,                                
    1.9608,  174.1518,1459962362.0,  106.4418,  -25.8361,                                
    1.9261,  173.2864,1459962365.9,  106.4418,  -25.8361,                                
    1.8218,  172.3682,1459962369.8,  107.5973,  -28.4815,                                
    1.9044,  171.4908,1459962373.6,  106.5458,  -26.3349,                                
    1.9165,  170.5594,1459962377.7,  109.9186,  -33.4353,                                
    1.9145,  169.6599,1459962381.6,  113.7823,  -41.4714,                                
    1.9068,  168.7446,1459962385.6,  117.1174,  -48.3090,                                
    1.8724,  167.8479,1459962389.5,  112.2610,  -38.8103,                                
    1.8996,  167.0021,1459962393.4,  115.3068,  -45.0199,                                
    1.7928,  166.1200,1459962397.2,  120.1978,  -54.9325,                                
    1.7730,  165.2342,1459962401.2,  109.4113,  -33.2208,                                
    1.7933,  164.3342,1459962405.1,  112.9218,  -40.3974,                                
    1.8605,  163.4318,1459962409.1,  116.3062,  -47.2966,                                
    1.8467,  162.5349,1459962413.1,  118.1757,  -51.0757,                                
    1.8367,  161.6206,1459962417.0,  121.3481,  -57.5329,                                
    1.7849,  160.7706,1459962420.9,  121.3481,  -57.5329,                                
    1.7247,  159.8599,1459962424.8,  118.6777,  -51.9829,                                
    1.8312,  158.9710,1459962428.8,  115.7024,  -46.0436,                                
    1.8224,  158.0709,1459962432.7,  118.4679,  -51.6226,                                
    1.7717,  157.1655,1459962436.6,  120.7730,  -56.2571,                                
    1.7634,  156.2377,1459962440.8,  122.7387,  -60.2006,                                
    1.7525,  155.3160,1459962444.8,  122.7387,  -60.2006,                                
    1.7619,  154.4368,1459962448.7,  121.5537,  -57.8420,                                
    1.7241,  153.5265,1459962452.6,  114.5550,  -44.1917,                                
    1.6754,  152.6491,1459962456.6,  117.0165,  -49.1292,                                
    1.7050,  151.7182,1459962460.6,  119.2884,  -53.6753,                                
    1.6829,  150.8226,1459962464.6,  119.5339,  -54.1620,                                
    1.6990,  149.9421,1459962468.4,  119.7118,  -54.5140,                                
    1.6972,  149.0431,1459962472.4,  117.4314,  -50.2759,                                
    1.7101,  148.1549,1459962476.3,  118.2884,  -51.9695,                                
    1.6919,  147.2400,1459962480.3,  118.2884,  -51.9695,                                
    1.6452,  146.3337,1459962484.3,  114.6051,  -44.7309,                                
    1.6619,  145.4402,1459962488.2,  114.6051,  -44.7309,                                
    1.6679,  144.5983,1459962492.0,  112.1519,  -40.1872,                                
    1.6659,  143.6908,1459962496.0,  112.1519,  -40.1872,                                
    1.6561,  142.8347,1459962499.9,  112.1519,  -40.1872,                                
    1.6771,  141.9541,1459962503.8,  112.1519,  -40.1872,                                
    1.6580,  141.0522,1459962507.8,  113.3817,  -42.5955,                                
    1.6185,  140.1807,1459962511.7,  113.4203,  -42.6737,                                
    1.6402,  139.3142,1459962515.6,  111.4062,  -39.0829,                                
    1.5815,  138.4610,1459962519.5,  109.4645,  -35.3101,                                
    1.5897,  137.5729,1459962523.4,  109.7629,  -35.8893,                                
    1.5951,  136.7144,1459962527.3,  110.3618,  -37.0534,                                
    1.5850,  135.8444,1459962531.2,  111.0451,  -38.3811,                                
    1.5868,  134.9730,1459962535.2,  111.6275,  -39.5105,                                
    1.5260,  134.1246,1459962539.0,  112.6597,  -41.5272,                                
    1.5472,  133.2521,1459962542.9,  113.5294,  -43.2046,                                
    1.5482,  132.3793,1459962546.9,  113.6142,  -43.3669,                                
    1.5368,  131.4675,1459962551.0,  113.6142,  -43.3669,                                
    1.5291,  130.6342,1459962554.8,  114.3440,  -44.7695,                                
    1.5457,  129.7592,1459962558.7,  114.3440,  -44.7695,                                
    1.5154,  128.9097,1459962562.6,  114.2124,  -44.5189,                                
    1.5640,  128.0175,1459962566.7,  114.4137,  -44.9026,                                
    1.5318,  127.1284,1459962570.8,  114.5376,  -45.1384,                                
    1.5052,  126.2600,1459962574.7,  114.3783,  -44.8359,                                
    1.4673,  125.4207,1459962578.5,  114.3783,  -44.8359,                                
    1.4817,  124.5521,1459962582.6,  114.1576,  -44.4187,                                
    1.4681,  123.7117,1459962586.4,  114.1471,  -44.3988,                                
    1.4779,  122.8749,1459962590.3,  114.1471,  -44.3988,                                
    1.5125,  122.0218,1459962594.2,  114.1471,  -44.3988,                                
