# DateTime,20151214_151425
# Description,Variation of ringdown statistics with threshold
# InstrumentName,AEDS2056_NH3_BL
# SchemeFile,/home/picarro/SI2000\InstrConfig\Schemes\NH3_BL.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,9
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,49518.9414062
# TUNER_SWEEP_RAMP_LOW_REGISTER,16034.0605469
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,47418.9414062
# TUNER_WINDOW_RAMP_LOW_REGISTER,18134.0605469
# TWGEN_SLOPE_DOWN,37500
# TWGEN_SLOPE_UP,5000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,193.57,0.3049,0.4190,6548.5150,1.11,1.2774,0.09181
,,3000,118.72,0.2285,0.4184,6548.5150,0.91,0.9558,0.08772
,,4000,55.16,0.2020,0.4180,6548.5150,0.86,0.8443,0.11367
,,5000,171.82,0.1622,0.4216,6548.5150,0.64,0.6837,0.05216
,,6000,204.58,0.0430,0.4217,6548.5150,0.58,0.1812,0.01267
,,7000,204.58,0.0411,0.4218,6548.5150,0.60,0.1733,0.01211
,,8000,204.58,0.0395,0.4218,6548.5150,0.60,0.1667,0.01165
,,9000,204.54,0.0369,0.4218,6548.5150,0.58,0.1556,0.01088
,,10000,204.37,0.0343,0.4218,6548.5150,0.57,0.1449,0.01013
,,11000,204.37,0.0332,0.4218,6548.5150,0.60,0.1403,0.00981
,,12000,204.08,0.0324,0.4218,6548.5150,0.59,0.1365,0.00955
,,13000,203.54,0.0323,0.4218,6548.5150,0.61,0.1363,0.00955
,,14000,202.55,0.0325,0.4218,6548.5150,0.60,0.1372,0.00964
,,15000,202.55,0.0335,0.4218,6548.5150,0.62,0.1411,0.00992
,,16000,201.73,0.0338,0.4218,6548.5150,0.63,0.1424,0.01003
