# DateTime,20151214_151616
# Description,Variation of ringdown statistics with threshold
# InstrumentName,AEDS2056_NH3_PK
# SchemeFile,/home/picarro/SI2000\InstrConfig\Schemes\NH3_PK.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,9
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,49518.9414062
# TUNER_SWEEP_RAMP_LOW_REGISTER,16034.0605469
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,47418.9414062
# TUNER_WINDOW_RAMP_LOW_REGISTER,18134.0605469
# TWGEN_SLOPE_DOWN,37500
# TWGEN_SLOPE_UP,5000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,219.06,0.4717,0.4236,6548.8040,1.84,1.9979,0.13499
,,3000,204.54,0.1070,0.4234,6548.8040,0.64,0.4532,0.03169
,,4000,204.58,0.0655,0.4233,6548.8040,0.59,0.2772,0.01938
,,5000,204.58,0.0484,0.4233,6548.8040,0.63,0.2047,0.01431
,,6000,204.58,0.0434,0.4233,6548.8040,0.59,0.1837,0.01284
,,7000,204.62,0.0395,0.4234,6548.8040,0.60,0.1674,0.01170
,,8000,204.58,0.0375,0.4234,6548.8040,0.62,0.1590,0.01112
,,9000,204.58,0.0368,0.4234,6548.8040,0.59,0.1560,0.01091
,,10000,204.37,0.0347,0.4234,6548.8040,0.57,0.1470,0.01028
,,11000,204.33,0.0329,0.4234,6548.8040,0.60,0.1392,0.00974
,,12000,204.16,0.0314,0.4234,6548.8040,0.62,0.1330,0.00931
,,13000,203.54,0.0317,0.4234,6548.8040,0.64,0.1343,0.00942
,,14000,201.33,0.0339,0.4234,6548.8040,0.67,0.1436,0.01012
,,15000,201.01,0.0326,0.4234,6548.8040,0.64,0.1382,0.00975
,,16000,202.35,0.0329,0.4233,6548.8040,0.64,0.1392,0.00979
