y_parameter,  pressure,   date_time,     slope, intercept,                         comment
          ,          ,            ,          ,          ,         scale(orig)=6.93792e-05
          ,          ,            ,          ,          ,         offset(orig)=   7.01238
          ,          ,            ,          ,          ,                  P(atm)=767.315
          ,          ,            ,          ,          ,             P(cav_open)=777.905
    1.0093,  210.0652,1492713299.8,  104.0674,  105.0326,                                
    1.0095,  210.0668,1492713301.2,    0.0000,    0.0000,                                
    1.0111,  210.0629,1492713302.5,    0.0000,    0.0000,                                
    1.0051,  210.0512,1492713303.9,    0.0000,    0.0000,                                
    1.0075,  210.0067,1492713305.4,    0.0000,    0.0000,                                
    1.0089,  209.9167,1492713306.7,  104.2189,  105.0033,                                
    1.0034,  209.7913,1492713308.1,  -67.1173,  277.6291,                                
    1.0044,  209.6389,1492713309.5,  104.0358,  104.9583,                                
    1.0072,  209.4672,1492713310.9,   61.8452,  147.5231,                                
    1.0091,  209.2943,1492713312.3,  -61.7053,  271.6142,                                
    1.0055,  209.1172,1492713313.6,  -71.6007,  281.5611,                                
    1.0019,  208.9128,1492713315.0,  -72.3725,  282.2626,                                
    0.9972,  208.7201,1492713316.4,   42.1634,  167.0340,                                
    0.9894,  208.5182,1492713317.7,   77.9560,  130.9660,                                
    1.0014,  208.3180,1492713319.1,   77.9560,  130.9660,                                
    0.9949,  208.1162,1492713320.4,   89.7451,  119.0100,                                
    0.9987,  207.9032,1492713321.8,   49.2862,  159.4068,                                
    0.9959,  207.6944,1492713323.2,   74.0952,  134.5275,                                
    0.9928,  207.4834,1492713324.6,   84.9893,  123.5303,                                
    0.9923,  207.2778,1492713325.9,  104.3946,  104.0687,                                
    0.9938,  207.0748,1492713327.3,  115.2240,   93.2259,                                
    0.9931,  206.8629,1492713328.6,  125.4571,   82.9824,                                
    0.9919,  206.6663,1492713329.9,  137.9753,   70.4380,                                
    0.9894,  206.4594,1492713331.3,  150.5122,   57.8836,                                
    0.9950,  205.9984,1492713332.6,  161.8927,   46.4983,                                
    0.9950,  205.5089,1492713333.9,  173.1587,   35.1504,                                
    0.9902,  205.1853,1492713335.3,  184.8635,   23.5080,                                
    0.9862,  204.8931,1492713336.8,  123.8711,   84.2009,                                
    0.9888,  204.6118,1492713338.3,  157.5907,   50.5601,                                
    0.9955,  204.3659,1492713339.7,  157.5907,   50.5601,                                
    0.9858,  204.1339,1492713341.1,  134.7049,   73.2791,                                
    0.9812,  203.9051,1492713342.5,  206.4017,    1.8800,                                
    0.9852,  203.6696,1492713343.9,  181.2763,   26.6746,                                
    0.9817,  203.4424,1492713345.3,  211.3569,   -3.2614,                                
    0.9802,  203.2153,1492713346.7,  192.1760,   15.7137,                                
    0.9842,  202.9965,1492713348.1,  192.1760,   15.7137,                                
    0.9792,  202.7924,1492713349.3,  221.7498,  -13.7073,                                
    0.9830,  202.5714,1492713350.7,  221.7498,  -13.7073,                                
    0.9807,  202.3354,1492713352.2,  221.7498,  -13.7073,                                
    0.9765,  202.1091,1492713353.6,  253.1732,  -45.0774,                                
    0.9796,  201.8681,1492713355.1,  253.1732,  -45.0774,                                
    0.9744,  201.6471,1492713356.5,  262.9881,  -54.8449,                                
    0.9767,  201.4272,1492713357.8,  269.6851,  -61.5008,                                
    0.9689,  201.2130,1492713359.1,  269.5661,  -61.3627,                                
    0.9718,  200.9914,1492713360.5,  269.5661,  -61.3627,                                
    0.9716,  200.7615,1492713361.9,  276.4909,  -68.2378,                                
    0.9751,  200.5274,1492713363.4,  271.2162,  -63.0105,                                
    0.9801,  200.2977,1492713364.8,  266.7500,  -58.6667,                                
    0.9681,  200.0677,1492713366.2,  266.7500,  -58.6667,                                
    0.9638,  199.8380,1492713367.6,  250.0489,  -42.1393,                                
    0.9629,  199.6063,1492713369.0,  250.3774,  -42.4646,                                
    0.9617,  199.3776,1492713370.4,  255.8413,  -47.8836,                                
    0.9660,  199.1533,1492713371.8,  259.5326,  -51.6090,                                
    0.9625,  198.9109,1492713373.3,  256.4503,  -48.5631,                                
    0.9588,  198.6809,1492713374.7,  256.4503,  -48.5631,                                
    0.9584,  198.4432,1492713376.1,  246.9530,  -39.1871,                                
    0.9569,  198.2028,1492713377.6,  235.4483,  -27.8845,                                
    0.9621,  197.9760,1492713378.9,  235.4483,  -27.8845,                                
    0.9588,  197.7345,1492713380.4,  237.5914,  -30.0007,                                
    0.9530,  197.5094,1492713381.8,  232.0173,  -24.5033,                                
    0.9455,  197.2822,1492713383.1,  228.3583,  -20.8975,                                
    0.9547,  197.0648,1492713384.5,  221.1398,  -13.8613,                                
    0.9532,  196.8356,1492713385.9,  219.1510,  -11.9030,                                
    0.9528,  196.5946,1492713387.3,  222.1226,  -14.8347,                                
    0.9416,  196.3568,1492713388.7,  223.4893,  -16.1811,                                
    0.9460,  196.1281,1492713390.0,  223.4893,  -16.1811,                                
    0.9470,  195.8889,1492713391.4,  216.2581,   -9.1426,                                
    0.9454,  195.6570,1492713392.8,  216.2581,   -9.1426,                                
    0.9463,  195.4253,1492713394.2,  217.0815,   -9.9524,                                
    0.9442,  195.1955,1492713395.6,  217.4914,  -10.3553,                                
