# DateTime,20170420_112132
# Description,Variation of ringdown statistics with threshold
# InstrumentName,AMADS2015_NH3_PK
# SchemeFile,C:\Picarro\G2000\InstrConfig\Schemes\NH3_PK.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,9
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,47809.1757812
# TUNER_SWEEP_RAMP_LOW_REGISTER,17726.8261719
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,45709.1757812
# TUNER_WINDOW_RAMP_LOW_REGISTER,19826.8261719
# TWGEN_SLOPE_DOWN,37500
# TWGEN_SLOPE_UP,5000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,201.01,1.0389,0.6398,6548.8039,2.54,6.6472,0.46885
,,3000,204.50,0.1234,0.6400,6548.8040,1.92,0.7897,0.05522
,,4000,204.46,0.0646,0.6399,6548.8040,0.88,0.4134,0.02891
,,5000,204.46,0.0437,0.6399,6548.8040,0.91,0.2799,0.01957
,,6000,204.50,0.0381,0.6399,6548.8040,0.91,0.2435,0.01703
,,7000,204.50,0.0316,0.6399,6548.8040,0.88,0.2020,0.01413
,,8000,204.46,0.0308,0.6400,6548.8040,0.91,0.1974,0.01381
,,9000,204.50,0.0334,0.6401,6548.8040,0.91,0.2136,0.01494
,,10000,204.08,0.0330,0.6401,6548.8040,0.94,0.2112,0.01479
,,11000,203.87,0.0323,0.6402,6548.8040,0.90,0.2067,0.01448
,,12000,203.92,0.0300,0.6402,6548.8040,0.90,0.1920,0.01345
,,13000,203.46,0.0250,0.6403,6548.8040,0.97,0.1598,0.01120
,,14000,203.05,0.0209,0.6403,6548.8040,0.94,0.1341,0.00941
,,15000,201.45,0.0191,0.6403,6548.8040,1.04,0.1222,0.00861
,,16000,200.68,0.0169,0.6403,6548.8040,1.00,0.1082,0.00763
