# DateTime,20170420_185554
# Description,Variation of ringdown statistics with threshold
# InstrumentName,AMADS2015_NH3_BL
# SchemeFile,C:\Picarro\G2000\InstrConfig\Schemes\NH3_BL.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,9
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,47809.1757812
# TUNER_SWEEP_RAMP_LOW_REGISTER,17726.8261719
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,45709.1757812
# TUNER_WINDOW_RAMP_LOW_REGISTER,19826.8261719
# TWGEN_SLOPE_DOWN,37500
# TWGEN_SLOPE_UP,5000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,198.02,3.1846,0.6382,6548.5149,2.65,20.3250,1.44436
,,3000,204.54,0.1249,0.6383,6548.5149,2.26,0.7971,0.05573
,,4000,204.58,0.0551,0.6380,6548.5150,1.01,0.3512,0.02456
,,5000,204.58,0.0430,0.6381,6548.5150,0.90,0.2744,0.01919
,,6000,204.58,0.0336,0.6381,6548.5150,0.91,0.2145,0.01499
,,7000,204.54,0.0301,0.6381,6548.5150,0.89,0.1922,0.01344
,,8000,204.54,0.0261,0.6381,6548.5150,0.90,0.1663,0.01163
,,9000,204.37,0.0232,0.6382,6548.5150,0.92,0.1479,0.01035
,,10000,204.16,0.0228,0.6381,6548.5150,0.91,0.1452,0.01016
,,11000,203.96,0.0212,0.6382,6548.5150,0.92,0.1354,0.00948
,,12000,203.96,0.0211,0.6381,6548.5150,0.96,0.1347,0.00943
,,13000,203.17,0.0215,0.6381,6548.5150,0.96,0.1373,0.00963
,,14000,202.96,0.0202,0.6381,6548.5150,1.01,0.1291,0.00906
,,15000,203.38,0.0195,0.6381,6548.5150,0.95,0.1243,0.00872
,,16000,200.36,0.0213,0.6381,6548.5150,1.04,0.1356,0.00958
