# DateTime,20170420_185958
# Description,Variation of ringdown statistics with threshold
# InstrumentName,AMADS2015_HF_BL
# SchemeFile,C:\Picarro\G2000\AppConfig\Schemes\HF_baseline.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,9
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,47809.1757812
# TUNER_SWEEP_RAMP_LOW_REGISTER,17726.8261719
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,45709.1757812
# TUNER_WINDOW_RAMP_LOW_REGISTER,19826.8261719
# TWGEN_SLOPE_DOWN,37500
# TWGEN_SLOPE_UP,5000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,211.37,1.3931,0.6815,7823.4000,2.68,9.4948,0.65307
,,3000,204.67,0.1099,0.6812,7823.4000,1.86,0.7485,0.05232
,,4000,204.58,0.0632,0.6811,7823.4001,1.34,0.4306,0.03011
,,5000,204.54,0.0452,0.6811,7823.4001,1.31,0.3077,0.02152
,,6000,204.54,0.0358,0.6811,7823.4000,1.34,0.2437,0.01704
,,7000,204.58,0.0310,0.6812,7823.4000,1.35,0.2113,0.01477
,,8000,204.37,0.0278,0.6812,7823.4000,1.38,0.1893,0.01324
,,9000,203.54,0.0247,0.6813,7823.4000,1.39,0.1682,0.01179
,,10000,202.18,0.0229,0.6813,7823.4000,1.42,0.1559,0.01097
,,11000,199.64,0.0209,0.6813,7823.4000,1.47,0.1422,0.01007
,,12000,192.57,0.0212,0.6813,7823.4000,1.51,0.1446,0.01042
,,13000,192.09,0.0209,0.6813,7823.4000,1.53,0.1423,0.01027
,,14000,186.85,0.0196,0.6813,7823.4000,1.54,0.1332,0.00975
,,15000,180.83,0.0207,0.6813,7823.4000,1.64,0.1409,0.01048
,,16000,165.84,0.0203,0.6812,7823.4000,1.65,0.1386,0.01076
