# DateTime,20170420_190132
# Description,Variation of ringdown statistics with threshold
# InstrumentName,AMADS2015_HF_PK
# SchemeFile,C:\Picarro\G2000\AppConfig\Schemes\HF_peak.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,9
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,47809.1757812
# TUNER_SWEEP_RAMP_LOW_REGISTER,17726.8261719
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,45709.1757812
# TUNER_WINDOW_RAMP_LOW_REGISTER,19826.8261719
# TWGEN_SLOPE_DOWN,37500
# TWGEN_SLOPE_UP,5000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,212.40,0.4081,0.6866,7823.8514,2.67,2.8021,0.19226
,,3000,204.62,0.1144,0.6865,7823.8515,1.85,0.7852,0.05489
,,4000,204.58,0.0602,0.6864,7823.8515,1.33,0.4129,0.02887
,,5000,204.58,0.0431,0.6864,7823.8515,1.27,0.2958,0.02068
,,6000,204.54,0.0361,0.6864,7823.8515,1.32,0.2479,0.01733
,,7000,204.54,0.0318,0.6864,7823.8515,1.35,0.2183,0.01527
,,8000,204.33,0.0278,0.6865,7823.8515,1.31,0.1909,0.01336
,,9000,202.76,0.0247,0.6865,7823.8515,1.35,0.1699,0.01193
,,10000,202.96,0.0222,0.6865,7823.8515,1.40,0.1522,0.01068
,,11000,200.56,0.0201,0.6866,7823.8515,1.42,0.1383,0.00977
,,12000,197.82,0.0203,0.6866,7823.8515,1.46,0.1395,0.00992
,,13000,190.22,0.0202,0.6865,7823.8515,1.49,0.1387,0.01006
,,14000,177.56,0.0210,0.6865,7823.8515,1.55,0.1443,0.01083
,,15000,177.37,0.0201,0.6865,7823.8515,1.51,0.1381,0.01037
,,16000,160.21,0.0197,0.6865,7823.8515,1.58,0.1353,0.01069
