# DateTime,20170420_194034
# Description,Variation of ringdown statistics with threshold
# InstrumentName,AMADS2015_NH3_BL
# SchemeFile,C:\Picarro\G2000\InstrConfig\Schemes\NH3_BL.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,9
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,47809.1757812
# TUNER_SWEEP_RAMP_LOW_REGISTER,17726.8261719
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,45709.1757812
# TUNER_WINDOW_RAMP_LOW_REGISTER,19826.8261719
# TWGEN_SLOPE_DOWN,37500
# TWGEN_SLOPE_UP,5000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,201.57,1.0606,0.6386,6548.5149,2.90,6.7732,0.47707
,,3000,204.62,0.1143,0.6382,6548.5149,2.18,0.7293,0.05098
,,4000,204.58,0.0583,0.6381,6548.5150,1.09,0.3721,0.02601
,,5000,204.58,0.0424,0.6381,6548.5150,0.93,0.2703,0.01889
,,6000,204.58,0.0343,0.6381,6548.5150,0.93,0.2191,0.01532
,,7000,204.58,0.0309,0.6381,6548.5150,0.90,0.1972,0.01379
,,8000,204.21,0.0276,0.6382,6548.5150,0.94,0.1763,0.01234
,,9000,204.37,0.0239,0.6382,6548.5150,0.91,0.1525,0.01067
,,10000,204.16,0.0226,0.6382,6548.5150,0.94,0.1442,0.01009
,,11000,203.33,0.0209,0.6382,6548.5150,0.95,0.1337,0.00937
,,12000,203.75,0.0212,0.6382,6548.5150,0.97,0.1356,0.00950
,,13000,202.55,0.0202,0.6382,6548.5150,1.01,0.1292,0.00908
,,14000,202.96,0.0200,0.6382,6548.5150,0.97,0.1274,0.00894
,,15000,201.37,0.0202,0.6381,6548.5150,1.06,0.1292,0.00910
,,16000,201.53,0.0198,0.6381,6548.5150,1.03,0.1261,0.00889
