# DateTime,20170420_194205
# Description,Variation of ringdown statistics with threshold
# InstrumentName,AMADS2015_NH3_PK
# SchemeFile,C:\Picarro\G2000\InstrConfig\Schemes\NH3_PK.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,9
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,47809.1757812
# TUNER_SWEEP_RAMP_LOW_REGISTER,17726.8261719
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,45709.1757812
# TUNER_WINDOW_RAMP_LOW_REGISTER,19826.8261719
# TWGEN_SLOPE_DOWN,37500
# TWGEN_SLOPE_UP,5000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,196.66,3.1842,0.6389,6548.8039,2.47,20.3454,1.45082
,,3000,204.54,0.1110,0.6389,6548.8039,2.32,0.7091,0.04958
,,4000,204.54,0.0589,0.6388,6548.8040,0.98,0.3765,0.02632
,,5000,204.58,0.0407,0.6388,6548.8040,0.91,0.2597,0.01816
,,6000,204.58,0.0324,0.6388,6548.8040,0.94,0.2069,0.01447
,,7000,204.37,0.0307,0.6389,6548.8040,0.89,0.1960,0.01371
,,8000,204.37,0.0279,0.6389,6548.8040,0.88,0.1783,0.01247
,,9000,204.37,0.0245,0.6389,6548.8040,0.86,0.1566,0.01096
,,10000,204.33,0.0228,0.6389,6548.8040,0.94,0.1459,0.01021
,,11000,204.16,0.0202,0.6389,6548.8040,0.93,0.1292,0.00904
,,12000,204.00,0.0203,0.6389,6548.8040,0.92,0.1299,0.00910
,,13000,203.17,0.0197,0.6389,6548.8040,0.95,0.1258,0.00882
,,14000,202.92,0.0199,0.6389,6548.8040,0.98,0.1271,0.00892
,,15000,201.65,0.0199,0.6389,6548.8040,1.03,0.1272,0.00896
,,16000,201.86,0.0203,0.6389,6548.8040,1.04,0.1300,0.00915
