# DateTime,20170420_201547
# Description,Variation of ringdown statistics with threshold
# InstrumentName,AMADS2015_HF_PK
# SchemeFile,C:\Picarro\G2000\AppConfig\Schemes\HF_peak.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,9
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,47809.1757812
# TUNER_SWEEP_RAMP_LOW_REGISTER,17726.8261719
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,45709.1757812
# TUNER_WINDOW_RAMP_LOW_REGISTER,19826.8261719
# TWGEN_SLOPE_DOWN,37500
# TWGEN_SLOPE_UP,5000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,212.40,0.3837,0.6864,7823.8515,2.55,2.6341,0.18074
,,3000,204.83,0.1190,0.6862,7823.8515,1.86,0.8164,0.05704
,,4000,204.58,0.0610,0.6861,7823.8515,1.32,0.4185,0.02926
,,5000,204.58,0.0422,0.6861,7823.8515,1.30,0.2898,0.02026
,,6000,204.54,0.0342,0.6861,7823.8515,1.34,0.2346,0.01641
,,7000,204.58,0.0300,0.6862,7823.8515,1.31,0.2057,0.01438
,,8000,203.96,0.0289,0.6862,7823.8515,1.33,0.1985,0.01390
,,9000,203.92,0.0262,0.6863,7823.8515,1.36,0.1800,0.01261
,,10000,202.55,0.0228,0.6863,7823.8515,1.36,0.1563,0.01098
,,11000,199.96,0.0214,0.6864,7823.8515,1.38,0.1470,0.01040
,,12000,194.02,0.0183,0.6864,7823.8515,1.46,0.1255,0.00901
,,13000,187.76,0.0176,0.6864,7823.8515,1.48,0.1205,0.00879
,,14000,178.64,0.0180,0.6864,7823.8515,1.54,0.1234,0.00923
,,15000,174.49,0.0173,0.6864,7823.8515,1.53,0.1184,0.00896
,,16000,161.76,0.0177,0.6863,7823.8515,1.57,0.1213,0.00954
