# DateTime,20170420_203047
# Description,Variation of ringdown statistics with threshold
# InstrumentName,AMADS2015_HF_BL
# SchemeFile,C:\Picarro\G2000\AppConfig\Schemes\HF_baseline.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,9
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,47809.1757812
# TUNER_SWEEP_RAMP_LOW_REGISTER,17726.8261719
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,45709.1757812
# TUNER_WINDOW_RAMP_LOW_REGISTER,19826.8261719
# TWGEN_SLOPE_DOWN,37500
# TWGEN_SLOPE_UP,5000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,210.48,0.3857,0.6815,7823.4000,2.44,2.6287,0.18119
,,3000,204.54,0.1076,0.6813,7823.4000,1.79,0.7333,0.05127
,,4000,204.58,0.0602,0.6812,7823.4001,1.33,0.4102,0.02868
,,5000,204.54,0.0422,0.6812,7823.4001,1.36,0.2875,0.02011
,,6000,204.16,0.0339,0.6812,7823.4001,1.37,0.2310,0.01617
,,7000,204.58,0.0305,0.6812,7823.4000,1.38,0.2080,0.01454
,,8000,203.75,0.0285,0.6813,7823.4000,1.36,0.1942,0.01361
,,9000,204.37,0.0286,0.6814,7823.4000,1.36,0.1950,0.01364
,,10000,200.56,0.0272,0.6814,7823.4000,1.40,0.1856,0.01310
,,11000,201.94,0.0243,0.6815,7823.4000,1.40,0.1658,0.01167
,,12000,194.59,0.0200,0.6815,7823.4000,1.51,0.1366,0.00979
,,13000,189.29,0.0191,0.6816,7823.4000,1.51,0.1305,0.00948
,,14000,181.79,0.0178,0.6816,7823.4000,1.62,0.1211,0.00898
,,15000,171.14,0.0165,0.6816,7823.4000,1.63,0.1125,0.00860
,,16000,157.31,0.0167,0.6815,7823.4000,1.71,0.1138,0.00907
