# DateTime,20170523_151047
# Description,Variation of ringdown statistics with threshold
# InstrumentName,AMADS2015_HF_BL
# SchemeFile,C:\Picarro\G2000\AppConfig\Schemes\HF_baseline.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,9
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,47809.1757812
# TUNER_SWEEP_RAMP_LOW_REGISTER,17726.8261719
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,45709.1757812
# TUNER_WINDOW_RAMP_LOW_REGISTER,19826.8261719
# TWGEN_SLOPE_DOWN,37500
# TWGEN_SLOPE_UP,5000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,204.96,0.3762,0.6831,7823.4000,1.94,2.5701,0.17952
,,3000,204.58,0.1062,0.6829,7823.4000,1.62,0.7253,0.05071
,,4000,204.58,0.0591,0.6828,7823.4000,1.42,0.4032,0.02819
,,5000,204.58,0.0410,0.6828,7823.4000,1.39,0.2799,0.01957
,,6000,204.42,0.0337,0.6829,7823.4000,1.50,0.2304,0.01611
,,7000,204.16,0.0292,0.6829,7823.4000,1.50,0.1991,0.01393
,,8000,203.54,0.0284,0.6830,7823.4000,1.52,0.1941,0.01360
,,9000,201.53,0.0259,0.6830,7823.4000,1.52,0.1770,0.01247
,,10000,194.78,0.0229,0.6831,7823.4000,1.52,0.1562,0.01119
,,11000,185.63,0.0208,0.6831,7823.4000,1.75,0.1418,0.01040
,,12000,170.97,0.0192,0.6831,7823.4000,1.67,0.1312,0.01004
,,13000,165.18,0.0194,0.6831,7823.4000,1.78,0.1329,0.01034
,,14000,146.33,0.0187,0.6831,7823.4000,1.86,0.1280,0.01058
,,15000,133.03,0.0189,0.6831,7823.4000,1.85,0.1293,0.01121
,,16000,114.50,0.0188,0.6830,7823.4001,1.93,0.1287,0.01203
