# DateTime,20170523_151230
# Description,Variation of ringdown statistics with threshold
# InstrumentName,AMADS2015_HF_PK
# SchemeFile,C:\Picarro\G2000\AppConfig\Schemes\HF_peak.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,9
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,47809.1757812
# TUNER_SWEEP_RAMP_LOW_REGISTER,17726.8261719
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,45709.1757812
# TUNER_WINDOW_RAMP_LOW_REGISTER,19826.8261719
# TWGEN_SLOPE_DOWN,37500
# TWGEN_SLOPE_UP,5000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,147.99,6.2154,0.6862,7823.8514,5.14,42.6495,3.50583
,,3000,204.54,0.1041,0.6842,7823.8515,1.61,0.7125,0.04982
,,4000,204.58,0.0602,0.6841,7823.8515,1.40,0.4116,0.02877
,,5000,204.37,0.0419,0.6841,7823.8515,1.36,0.2864,0.02003
,,6000,204.37,0.0345,0.6841,7823.8515,1.43,0.2362,0.01652
,,7000,203.17,0.0299,0.6842,7823.8515,1.42,0.2048,0.01437
,,8000,202.51,0.0279,0.6842,7823.8515,1.52,0.1912,0.01344
,,9000,200.52,0.0267,0.6843,7823.8515,1.57,0.1829,0.01292
,,10000,193.72,0.0241,0.6843,7823.8515,1.62,0.1650,0.01185
,,11000,182.18,0.0202,0.6844,7823.8515,1.64,0.1384,0.01026
,,12000,173.04,0.0189,0.6844,7823.8515,1.72,0.1295,0.00984
,,13000,165.70,0.0184,0.6844,7823.8515,1.70,0.1260,0.00979
,,14000,154.39,0.0185,0.6844,7823.8515,1.70,0.1268,0.01021
,,15000,133.74,0.0185,0.6844,7823.8515,1.77,0.1269,0.01097
,,16000,115.86,0.0179,0.6844,7823.8515,1.93,0.1228,0.01140
