# DateTime,20170523_151412
# Description,Variation of ringdown statistics with threshold
# InstrumentName,AMADS2015_NH3_BL
# SchemeFile,C:\Picarro\G2000\InstrConfig\Schemes\NH3_BL.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,9
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,47809.1757812
# TUNER_SWEEP_RAMP_LOW_REGISTER,17726.8261719
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,45709.1757812
# TUNER_WINDOW_RAMP_LOW_REGISTER,19826.8261719
# TWGEN_SLOPE_DOWN,37500
# TWGEN_SLOPE_UP,5000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,204.16,3.7306,0.6378,6548.5149,4.50,23.7919,1.66509
,,3000,204.58,0.1061,0.6383,6548.5150,0.90,0.6775,0.04737
,,4000,204.58,0.0584,0.6382,6548.5150,0.96,0.3725,0.02604
,,5000,203.96,0.0421,0.6383,6548.5150,0.95,0.2685,0.01880
,,6000,204.54,0.0330,0.6383,6548.5150,0.97,0.2104,0.01471
,,7000,203.96,0.0298,0.6383,6548.5150,1.00,0.1901,0.01331
,,8000,203.33,0.0295,0.6384,6548.5150,1.02,0.1881,0.01319
,,9000,201.13,0.0262,0.6385,6548.5150,1.07,0.1670,0.01177
,,10000,197.59,0.0235,0.6385,6548.5150,1.16,0.1498,0.01066
,,11000,193.12,0.0201,0.6385,6548.5150,1.29,0.1284,0.00924
,,12000,186.95,0.0193,0.6385,6548.5150,1.43,0.1230,0.00900
,,13000,184.20,0.0190,0.6385,6548.5150,1.53,0.1210,0.00892
,,14000,163.13,0.0187,0.6385,6548.5150,1.64,0.1197,0.00937
,,15000,151.86,0.0193,0.6384,6548.5150,1.83,0.1232,0.01000
,,16000,139.53,0.0191,0.6384,6548.5150,1.92,0.1221,0.01034
