# DateTime,20170721_161011
# Description,Variation of ringdown statistics with threshold
# InstrumentName,AMADS2015_HF_PK
# SchemeFile,/home/picarro/SI2000/AppConfig/Schemes/HF_peak.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,3
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,1200.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,1200.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,43878.9492188
# TUNER_SWEEP_RAMP_LOW_REGISTER,21657.0507812
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1080.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1080.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,42678.9492188
# TUNER_WINDOW_RAMP_LOW_REGISTER,22857.0507812
# TWGEN_SLOPE_DOWN,15000
# TWGEN_SLOPE_UP,15000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,313.68,1.5190,0.6850,7823.8447,14.38,10.4061,0.58755
,,3000,298.60,0.0996,0.6841,7823.8449,9.12,0.6811,0.03942
,,4000,285.80,0.0605,0.6840,7823.8449,7.80,0.4139,0.02448
,,5000,271.00,0.0428,0.6840,7823.8449,7.88,0.2929,0.01779
,,6000,244.56,0.0340,0.6840,7823.8449,7.97,0.2329,0.01489
,,7000,212.49,0.0292,0.6840,7823.8449,7.88,0.1996,0.01369
,,8000,157.75,0.0253,0.6841,7823.8449,7.60,0.1732,0.01379
,,9000,131.56,0.0237,0.6841,7823.8449,7.82,0.1622,0.01414
,,10000,94.62,0.0215,0.6842,7823.8449,7.60,0.1472,0.01513
,,11000,55.56,0.0188,0.6842,7823.8449,6.86,0.1288,0.01729
,,12000,39.90,0.0184,0.6842,7823.8449,7.00,0.1258,0.01992
,,13000,26.23,0.0179,0.6842,7823.8449,7.31,0.1225,0.02392
,,14000,14.45,0.0183,0.6842,7823.8449,7.33,0.1249,0.03286
,,15000,10.22,0.0186,0.6842,7823.8449,7.75,0.1272,0.03977
,,16000,8.63,0.0191,0.6842,7823.8449,7.41,0.1310,0.04458
