# DateTime,20170721_161311
# Description,Variation of ringdown statistics with threshold
# InstrumentName,AMADS2015_NH3_BL
# SchemeFile,/home/picarro/I2000/InstrConfig/Schemes/NH3_BL.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,3
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,1200.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,1200.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,43878.9492188
# TUNER_SWEEP_RAMP_LOW_REGISTER,21657.0507812
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1080.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1080.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,42678.9492188
# TUNER_WINDOW_RAMP_LOW_REGISTER,22857.0507812
# TWGEN_SLOPE_DOWN,15000
# TWGEN_SLOPE_UP,15000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,296.56,3.7906,0.6381,6548.5110,13.14,24.1889,1.40462
,,3000,290.70,0.1004,0.6379,6548.5111,6.21,0.6405,0.03756
,,4000,281.37,0.0563,0.6378,6548.5111,5.85,0.3592,0.02141
,,5000,271.96,0.0419,0.6378,6548.5111,5.66,0.2673,0.01621
,,6000,263.02,0.0313,0.6379,6548.5111,5.61,0.1994,0.01230
,,7000,253.87,0.0304,0.6379,6548.5111,5.99,0.1942,0.01219
,,8000,242.54,0.0283,0.6380,6548.5112,5.50,0.1808,0.01161
,,9000,233.97,0.0253,0.6380,6548.5111,5.44,0.1613,0.01055
,,10000,219.30,0.0232,0.6380,6548.5111,5.47,0.1481,0.01000
,,11000,212.09,0.0199,0.6381,6548.5111,5.05,0.1269,0.00871
,,12000,192.79,0.0197,0.6381,6548.5112,5.11,0.1255,0.00904
,,13000,178.22,0.0189,0.6381,6548.5111,5.35,0.1206,0.00904
,,14000,159.06,0.0190,0.6380,6548.5112,5.27,0.1213,0.00961
,,15000,144.91,0.0185,0.6380,6548.5112,5.21,0.1179,0.00979
,,16000,128.58,0.0190,0.6380,6548.5111,5.15,0.1210,0.01067
