# DateTime,20170721_161438
# Description,Variation of ringdown statistics with threshold
# InstrumentName,AMADS2015_NH3_PK
# SchemeFile,/home/picarro/I2000/InstrConfig/Schemes/NH3_PK.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,3
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,1200.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,1200.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,43878.9492188
# TUNER_SWEEP_RAMP_LOW_REGISTER,21657.0507812
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1080.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1080.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,42678.9492188
# TUNER_WINDOW_RAMP_LOW_REGISTER,22857.0507812
# TWGEN_SLOPE_DOWN,15000
# TWGEN_SLOPE_UP,15000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,305.44,1.4990,0.6394,6548.8049,11.21,9.5842,0.54840
,,3000,290.11,0.1009,0.6385,6548.8050,6.83,0.6440,0.03781
,,4000,280.43,0.0591,0.6385,6548.8050,5.85,0.3776,0.02255
,,5000,273.67,0.0414,0.6385,6548.8050,5.91,0.2646,0.01600
,,6000,261.64,0.0333,0.6385,6548.8050,5.73,0.2124,0.01313
,,7000,253.74,0.0304,0.6385,6548.8050,5.22,0.1942,0.01219
,,8000,243.07,0.0282,0.6386,6548.8051,5.31,0.1798,0.01154
,,9000,239.18,0.0259,0.6386,6548.8050,5.44,0.1655,0.01070
,,10000,227.12,0.0215,0.6387,6548.8050,5.16,0.1373,0.00911
,,11000,216.08,0.0200,0.6387,6548.8051,5.52,0.1280,0.00871
,,12000,200.08,0.0197,0.6387,6548.8051,5.41,0.1261,0.00891
,,13000,186.43,0.0184,0.6387,6548.8050,5.21,0.1174,0.00860
,,14000,161.06,0.0187,0.6387,6548.8051,5.26,0.1192,0.00939
,,15000,128.55,0.0182,0.6386,6548.8051,5.46,0.1160,0.01023
,,16000,114.25,0.0187,0.6386,6548.8051,5.27,0.1193,0.01116
