# DateTime,20170724_130057
# Description,Variation of ringdown statistics with threshold
# InstrumentName,AMADS2015_HF_BL
# SchemeFile,/home/picarro/I2000/AppConfig/Schemes/HF_baseline.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,3
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,1200.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,1200.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,43878.9492188
# TUNER_SWEEP_RAMP_LOW_REGISTER,21657.0507812
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1080.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1080.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,42678.9492188
# TUNER_WINDOW_RAMP_LOW_REGISTER,22857.0507812
# TWGEN_SLOPE_DOWN,15000
# TWGEN_SLOPE_UP,15000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,313.97,1.0441,0.6855,7823.3996,15.70,7.1575,0.40394
,,3000,298.95,0.1082,0.6846,7823.4001,10.51,0.7410,0.04286
,,4000,285.63,0.0621,0.6844,7823.4001,9.90,0.4247,0.02513
,,5000,261.51,0.0449,0.6845,7823.4003,9.37,0.3073,0.01900
,,6000,235.63,0.0353,0.6845,7823.4003,9.50,0.2416,0.01574
,,7000,203.46,0.0299,0.6845,7823.4003,9.10,0.2044,0.01433
,,8000,169.78,0.0268,0.6846,7823.4003,9.44,0.1837,0.01410
,,9000,128.37,0.0253,0.6846,7823.4004,9.46,0.1729,0.01526
,,10000,50.40,0.0224,0.6847,7823.4005,10.03,0.1531,0.02157
,,11000,28.42,0.0201,0.6848,7823.4006,9.31,0.1373,0.02576
,,12000,29.39,0.0189,0.6848,7823.4007,9.34,0.1296,0.02391
,,13000,18.36,0.0189,0.6848,7823.4008,8.91,0.1291,0.03013
,,14000,14.48,0.0185,0.6847,7823.4009,8.66,0.1269,0.03334
,,15000,11.55,0.0184,0.6847,7823.4009,9.23,0.1263,0.03717
,,16000,5.44,0.0174,0.6847,7823.4010,7.75,0.1188,0.05092
