# DateTime,20170724_130719
# Description,Variation of ringdown statistics with threshold
# InstrumentName,AMADS2015_NH3_BL
# SchemeFile,/home/picarro/SI2000/InstrConfig/Schemes/NH3_BL.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,3
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,1200.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,1200.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,43878.9492188
# TUNER_SWEEP_RAMP_LOW_REGISTER,21657.0507812
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1080.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1080.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,42678.9492188
# TUNER_WINDOW_RAMP_LOW_REGISTER,22857.0507812
# TWGEN_SLOPE_DOWN,15000
# TWGEN_SLOPE_UP,15000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,297.89,6.9865,0.6422,6548.5033,11.97,44.8672,2.59959
,,3000,285.47,0.1051,0.6399,6548.5032,7.60,0.6724,0.03979
,,4000,277.93,0.0572,0.6398,6548.5031,7.09,0.3657,0.02194
,,5000,265.53,0.0411,0.6398,6548.5030,7.07,0.2628,0.01613
,,6000,260.21,0.0319,0.6399,6548.5030,6.84,0.2039,0.01264
,,7000,251.57,0.0281,0.6399,6548.5030,6.37,0.1797,0.01133
,,8000,244.02,0.0286,0.6399,6548.5235,7.14,0.1830,0.01172
,,9000,237.76,0.0266,0.6399,6548.5235,6.75,0.1703,0.01104
,,10000,224.01,0.0249,0.6400,6548.5142,306.81,0.1594,0.01065
,,11000,207.73,0.0216,0.6400,6548.5176,278.80,0.1384,0.00961
,,12000,195.89,0.0210,0.6400,6548.5153,300.49,0.1344,0.00960
,,13000,184.50,0.0201,0.6400,6548.5148,303.52,0.1289,0.00949
,,14000,165.34,0.0203,0.6400,6548.5154,299.93,0.1300,0.01011
,,15000,146.52,0.0206,0.6400,6548.5122,306.14,0.1319,0.01089
,,16000,118.11,0.0199,0.6400,6548.5149,302.84,0.1271,0.01170
