# DateTime,20170724_130847
# Description,Variation of ringdown statistics with threshold
# InstrumentName,AMADS2015_NH3_PK
# SchemeFile,/home/picarro/SI2000/InstrConfig/Schemes/NH3_PK.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,3
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,1200.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,1200.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,43878.9492188
# TUNER_SWEEP_RAMP_LOW_REGISTER,21657.0507812
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1080.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1080.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,42678.9492188
# TUNER_WINDOW_RAMP_LOW_REGISTER,22857.0507812
# TWGEN_SLOPE_DOWN,15000
# TWGEN_SLOPE_UP,15000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,304.60,5.0385,0.6395,6548.8101,11.84,32.2198,1.84611
,,3000,290.44,0.1036,0.6405,6548.8101,6.90,0.6635,0.03893
,,4000,280.19,0.0571,0.6405,6548.8101,7.28,0.3660,0.02187
,,5000,274.27,0.0414,0.6405,6548.8101,6.91,0.2649,0.01599
,,6000,263.85,0.0343,0.6405,6548.8101,6.88,0.2195,0.01351
,,7000,256.34,0.0290,0.6405,6548.8101,7.27,0.1859,0.01161
,,8000,246.61,0.0282,0.6406,6548.8101,7.25,0.1809,0.01152
,,9000,235.24,0.0256,0.6407,6548.8101,6.95,0.1643,0.01071
,,10000,217.72,0.0226,0.6407,6548.8101,6.92,0.1445,0.00979
,,11000,202.96,0.0202,0.6407,6548.8101,6.83,0.1297,0.00910
,,12000,201.94,0.0190,0.6407,6548.8101,6.84,0.1220,0.00858
,,13000,174.28,0.0198,0.6407,6548.8101,6.69,0.1271,0.00963
,,14000,139.08,0.0186,0.6407,6548.8101,6.48,0.1189,0.01008
,,15000,124.67,0.0192,0.6406,6548.8101,6.54,0.1227,0.01099
,,16000,106.59,0.0192,0.6406,6548.8100,6.79,0.1233,0.01194
