y_parameter,  pressure,   date_time,     slope, intercept,                         comment
          ,          ,            ,          ,          ,         scale(orig)=6.91025e-05
          ,          ,            ,          ,          ,         offset(orig)=   4.87118
          ,          ,            ,          ,          ,                  P(atm)=759.065
          ,          ,            ,          ,          ,             P(cav_open)=758.597
    1.7593,  200.0052,1491956120.8,   56.8427,  100.0026,                                
    1.7585,  200.0192,1491956125.5,    0.0000,    0.0000,                                
    1.7620,  200.0116,1491956130.5,    0.0000,    0.0000,                                
    1.7569,  199.7212,1491956135.8,    0.0000,    0.0000,                                
    1.7549,  198.8661,1491956140.9,   56.8384,   99.8606,                                
    1.7398,  197.9060,1491956146.2,   56.6610,   99.4330,                                
    1.7278,  196.9757,1491956151.0,   63.5294,   87.3799,                                
    1.7249,  196.0883,1491956155.8,   56.8773,   98.9530,                                
    1.7249,  195.2448,1491956160.5,   56.8773,   98.9530,                                
    1.7114,  194.4094,1491956165.2,  141.9885,  -48.9932,                                
    1.7040,  193.5096,1491956170.1,  127.6716,  -24.2044,                                
    1.7019,  192.5848,1491956175.0,  127.6716,  -24.2044,                                
    1.6878,  191.7089,1491956179.7,  132.9412,  -33.3114,                                
    1.6818,  190.7947,1491956184.7,  132.9412,  -33.3114,                                
    1.6742,  189.8844,1491956189.7,  124.1555,  -18.1606,                                
    1.6721,  188.9635,1491956194.4,  121.2430,  -13.1747,                                
    1.6626,  188.0365,1491956199.4,  120.4913,  -11.8847,                                
    1.6462,  187.1565,1491956204.3,  124.9384,  -19.5123,                                
    1.6445,  186.2436,1491956209.3,  126.0232,  -21.3691,                                
    1.6396,  185.2896,1491956214.3,  126.0232,  -21.3691,                                
    1.6288,  184.3884,1491956219.1,  116.1900,   -4.7171,                                
    1.6239,  183.5225,1491956223.8,  118.2221,   -8.1745,                                
    1.6109,  182.6289,1491956228.7,  118.2073,   -8.1494,                                
    1.5997,  181.6726,1491956233.9,  119.1381,   -9.7281,                                
    1.5956,  180.5930,1491956239.5,  119.1381,   -9.7281,                                
    1.5838,  179.5555,1491956245.1,  116.5768,   -5.4481,                                
    1.5823,  178.6262,1491956250.2,  116.5768,   -5.4481,                                
