# DateTime,20170411_174613
# Description,Variation of ringdown statistics with threshold
# InstrumentName,SADS2020_HF_BL
# SchemeFile,C:\Picarro\G2000\AppConfig\Schemes\HCL_baseline.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,9
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,49546.9023438
# TUNER_SWEEP_RAMP_LOW_REGISTER,15989.0976562
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,47446.9023438
# TUNER_WINDOW_RAMP_LOW_REGISTER,18089.0976562
# TWGEN_SLOPE_DOWN,37500
# TWGEN_SLOPE_UP,5000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,317.36,1047.5454,0.2288,5736.3096,75661.69,2397.3015,134.56959
,,3000,200.36,4.8662,0.7792,5739.3873,13132.96,37.9164,2.67868
,,4000,204.54,0.1411,0.7809,5739.2626,1.25,1.1019,0.07705
,,5000,204.58,0.0835,0.7812,5739.2627,1.23,0.6524,0.04561
,,6000,204.58,0.0629,0.7815,5739.2627,1.26,0.4918,0.03439
,,7000,204.58,0.0542,0.7816,5739.2627,1.28,0.4235,0.02961
,,8000,204.54,0.0449,0.7817,5739.2627,1.29,0.3513,0.02456
,,9000,204.58,0.0393,0.7818,5739.2626,1.25,0.3076,0.02151
,,10000,204.58,0.0360,0.7819,5739.2626,1.30,0.2813,0.01967
,,11000,204.58,0.0332,0.7819,5739.2626,1.34,0.2593,0.01813
,,12000,204.58,0.0297,0.7820,5739.2626,1.35,0.2324,0.01625
,,13000,204.54,0.0308,0.7820,5739.2626,1.31,0.2412,0.01687
,,14000,204.58,0.0290,0.7820,5739.2626,1.29,0.2265,0.01584
,,15000,204.33,0.0296,0.7821,5739.2626,1.28,0.2318,0.01622
,,16000,204.58,0.0293,0.7821,5739.2626,1.33,0.2295,0.01604
