# DateTime,20170411_174743
# Description,Variation of ringdown statistics with threshold
# InstrumentName,SADS2020_HF_PK
# SchemeFile,C:\Picarro\G2000\AppConfig\Schemes\HCL_peak.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,9
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,49546.9023438
# TUNER_SWEEP_RAMP_LOW_REGISTER,15989.0976562
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,47446.9023438
# TUNER_WINDOW_RAMP_LOW_REGISTER,18089.0976562
# TWGEN_SLOPE_DOWN,37500
# TWGEN_SLOPE_UP,5000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,323.83,793.6698,0.2330,5739.1889,2.71,1848.9659,102.74658
,,3000,131.79,0.3212,0.7962,5739.1893,1.92,2.5572,0.22276
,,4000,204.58,0.1292,0.7822,5739.1892,1.22,1.0103,0.07063
,,5000,204.54,0.0837,0.7825,5739.1892,1.21,0.6551,0.04581
,,6000,204.58,0.0630,0.7826,5739.1892,1.22,0.4931,0.03447
,,7000,204.58,0.0516,0.7827,5739.1892,1.26,0.4038,0.02823
,,8000,204.54,0.0453,0.7828,5739.1892,1.31,0.3546,0.02480
,,9000,204.62,0.0401,0.7829,5739.1892,1.24,0.3142,0.02196
,,10000,204.67,0.0376,0.7829,5739.1892,1.19,0.2940,0.02055
,,11000,204.67,0.0331,0.7830,5739.1892,1.24,0.2589,0.01810
,,12000,204.67,0.0306,0.7830,5739.1892,1.23,0.2399,0.01677
,,13000,204.67,0.0306,0.7830,5739.1892,1.28,0.2392,0.01672
,,14000,204.62,0.0302,0.7830,5739.1892,1.22,0.2362,0.01651
,,15000,204.58,0.0310,0.7830,5739.1892,1.29,0.2429,0.01698
,,16000,204.58,0.0301,0.7830,5739.1892,1.26,0.2359,0.01649
