# DateTime,20170412_082749
# Description,Variation of ringdown statistics with threshold
# InstrumentName,SADS2020_HF_BL
# SchemeFile,C:\Picarro\G2000\AppConfig\Schemes\HCL_baseline.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,9
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,49546.9023438
# TUNER_SWEEP_RAMP_LOW_REGISTER,15989.0976562
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,47446.9023438
# TUNER_WINDOW_RAMP_LOW_REGISTER,18089.0976562
# TWGEN_SLOPE_DOWN,37500
# TWGEN_SLOPE_UP,5000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,150.38,29.5391,0.8099,5739.2626,1.77,239.2411,19.50952
,,3000,204.58,0.2160,0.8022,5739.2626,1.27,1.7328,0.12115
,,4000,204.58,0.0561,0.8024,5739.2626,1.28,0.4505,0.03150
,,5000,204.54,0.0422,0.8025,5739.2626,1.26,0.3388,0.02369
,,6000,204.58,0.0338,0.8026,5739.2626,1.34,0.2709,0.01894
,,7000,204.54,0.0305,0.8027,5739.2626,1.35,0.2452,0.01714
,,8000,204.58,0.0288,0.8027,5739.2626,1.32,0.2315,0.01618
,,9000,204.37,0.0266,0.8028,5739.2626,1.33,0.2137,0.01495
,,10000,203.96,0.0231,0.8029,5739.2626,1.37,0.1853,0.01297
,,11000,203.54,0.0199,0.8030,5739.2626,1.37,0.1597,0.01119
,,12000,202.31,0.0168,0.8030,5739.2626,1.43,0.1350,0.00949
,,13000,198.77,0.0169,0.8030,5739.2626,1.52,0.1361,0.00965
,,14000,195.20,0.0171,0.8030,5739.2626,1.48,0.1371,0.00982
,,15000,186.15,0.0167,0.8030,5739.2626,1.52,0.1341,0.00983
,,16000,182.78,0.0170,0.8030,5739.2626,1.52,0.1361,0.01007
