# DateTime,20170412_084425
# Description,Variation of ringdown statistics with threshold
# InstrumentName,SADS2020_HF_PK
# SchemeFile,C:\Picarro\G2000\AppConfig\Schemes\HCL_peak.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,9
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,49546.9023438
# TUNER_SWEEP_RAMP_LOW_REGISTER,15989.0976562
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,47446.9023438
# TUNER_WINDOW_RAMP_LOW_REGISTER,18089.0976562
# TWGEN_SLOPE_DOWN,37500
# TWGEN_SLOPE_UP,5000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,198.89,29.9653,0.8044,5739.1892,1.57,241.0518,17.09259
,,3000,204.58,0.1030,0.7805,5739.1892,1.20,0.8042,0.05622
,,4000,204.54,0.0561,0.7806,5739.1892,1.24,0.4378,0.03061
,,5000,204.54,0.0391,0.7807,5739.1892,1.20,0.3056,0.02137
,,6000,204.58,0.0329,0.7808,5739.1892,1.19,0.2566,0.01794
,,7000,204.58,0.0299,0.7809,5739.1892,1.22,0.2335,0.01632
,,8000,204.54,0.0282,0.7810,5739.1892,1.26,0.2202,0.01540
,,9000,204.58,0.0292,0.7811,5739.1892,1.25,0.2284,0.01597
,,10000,204.37,0.0265,0.7812,5739.1892,1.25,0.2071,0.01449
,,11000,202.76,0.0244,0.7813,5739.1892,1.26,0.1909,0.01341
,,12000,201.33,0.0204,0.7813,5739.1892,1.34,0.1592,0.01122
,,13000,197.82,0.0172,0.7814,5739.1892,1.40,0.1342,0.00954
,,14000,196.89,0.0155,0.7814,5739.1892,1.33,0.1212,0.00864
,,15000,191.90,0.0147,0.7814,5739.1892,1.42,0.1152,0.00831
,,16000,185.12,0.0142,0.7814,5739.1892,1.48,0.1107,0.00813
