# DateTime,20170418_100613
# Description,Variation of ringdown statistics with threshold
# InstrumentName,SADS2020_HF_BL
# SchemeFile,C:\Picarro\G2000\AppConfig\Schemes\HCL_baseline.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,9
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,49591.9023438
# TUNER_SWEEP_RAMP_LOW_REGISTER,16034.0976562
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,47491.9023438
# TUNER_WINDOW_RAMP_LOW_REGISTER,18134.0976562
# TWGEN_SLOPE_DOWN,37500
# TWGEN_SLOPE_UP,5000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,220.46,363.9292,0.6168,5739.2626,4.03,2244.8110,151.18770
,,3000,204.58,0.2125,0.7740,5739.2626,1.25,1.6452,0.11502
,,4000,204.58,0.1477,0.7743,5739.2626,1.29,1.1434,0.07994
,,5000,204.54,0.1131,0.7746,5739.2626,1.32,0.8759,0.06124
,,6000,204.58,0.0970,0.7749,5739.2626,1.37,0.7520,0.05258
,,7000,203.75,0.0832,0.7752,5739.2626,1.33,0.6447,0.04517
,,8000,203.54,0.0729,0.7754,5739.2626,1.35,0.5652,0.03962
,,9000,196.35,0.0548,0.7756,5739.2626,1.40,0.4250,0.03033
,,10000,187.16,0.0486,0.7758,5739.2626,1.57,0.3771,0.02756
,,11000,175.32,0.0435,0.7760,5739.2626,1.65,0.3377,0.02550
,,12000,166.58,0.0348,0.7762,5739.2626,1.72,0.2704,0.02095
,,13000,152.42,0.0327,0.7763,5739.2626,1.74,0.2538,0.02056
,,14000,140.39,0.0317,0.7763,5739.2627,1.84,0.2459,0.02075
,,15000,120.82,0.0312,0.7763,5739.2627,1.90,0.2424,0.02205
,,16000,109.37,0.0310,0.7764,5739.2627,1.84,0.2408,0.02302
