# DateTime,20170418_100759
# Description,Variation of ringdown statistics with threshold
# InstrumentName,SADS2020_HF_PK
# SchemeFile,C:\Picarro\G2000\AppConfig\Schemes\HCL_peak.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,9
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,49591.9023438
# TUNER_SWEEP_RAMP_LOW_REGISTER,16034.0976562
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,47491.9023438
# TUNER_WINDOW_RAMP_LOW_REGISTER,18134.0976562
# TWGEN_SLOPE_DOWN,37500
# TWGEN_SLOPE_UP,5000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,186.85,397.6003,0.3495,5739.1892,2.92,1389.4648,101.64956
,,3000,204.58,0.2223,0.7752,5739.1892,1.24,1.7230,0.12046
,,4000,204.58,0.1532,0.7755,5739.1892,1.24,1.1884,0.08308
,,5000,204.58,0.1238,0.7758,5739.1892,1.29,0.9606,0.06716
,,6000,204.54,0.0969,0.7760,5739.1892,1.26,0.7519,0.05258
,,7000,203.75,0.0821,0.7764,5739.1892,1.27,0.6371,0.04463
,,8000,201.94,0.0674,0.7766,5739.1892,1.33,0.5236,0.03685
,,9000,198.41,0.0536,0.7768,5739.1892,1.34,0.4166,0.02957
,,10000,191.35,0.0462,0.7770,5739.1892,1.47,0.3590,0.02595
,,11000,174.83,0.0434,0.7771,5739.1892,1.61,0.3374,0.02552
,,12000,163.00,0.0341,0.7773,5739.1892,1.67,0.2651,0.02077
,,13000,152.18,0.0321,0.7774,5739.1892,1.78,0.2493,0.02021
,,14000,132.82,0.0299,0.7774,5739.1893,1.88,0.2325,0.02017
,,15000,131.70,0.0319,0.7774,5739.1893,1.87,0.2477,0.02158
,,16000,106.37,0.0309,0.7775,5739.1893,1.87,0.2406,0.02333
