# DateTime,20170421_081735
# Description,Variation of ringdown statistics with threshold
# InstrumentName,SADS2020_HF_BL
# SchemeFile,C:\Picarro\G2000\AppConfig\Schemes\HCL_baseline.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,9
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,49549.4023438
# TUNER_SWEEP_RAMP_LOW_REGISTER,15991.5976562
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,47449.4023438
# TUNER_WINDOW_RAMP_LOW_REGISTER,18091.5976562
# TWGEN_SLOPE_DOWN,37500
# TWGEN_SLOPE_UP,5000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,309.22,1201.5784,0.1920,5739.2623,3.14,2307.5070,131.22380
,,3000,204.58,0.2592,0.7724,5739.2626,1.22,2.0020,0.13997
,,4000,204.54,0.1801,0.7726,5739.2626,1.24,1.3913,0.09728
,,5000,204.54,0.1464,0.7730,5739.2626,1.29,1.1315,0.07912
,,6000,204.54,0.1389,0.7733,5739.2626,1.30,1.0740,0.07510
,,7000,204.37,0.1112,0.7736,5739.2626,1.32,0.8599,0.06015
,,8000,204.37,0.1011,0.7738,5739.2626,1.31,0.7825,0.05473
,,9000,204.04,0.0859,0.7740,5739.2626,1.35,0.6648,0.04654
,,10000,202.35,0.0725,0.7743,5739.2626,1.40,0.5614,0.03947
,,11000,196.50,0.0577,0.7745,5739.2626,1.46,0.4468,0.03188
,,12000,191.72,0.0412,0.7747,5739.2626,1.54,0.3188,0.02302
,,13000,181.36,0.0396,0.7748,5739.2626,1.57,0.3067,0.02277
,,14000,173.64,0.0371,0.7748,5739.2626,1.64,0.2872,0.02180
,,15000,163.96,0.0344,0.7747,5739.2626,1.74,0.2668,0.02083
,,16000,142.80,0.0350,0.7747,5739.2626,1.80,0.2709,0.02267
