# DateTime,20170518_135246
# Description,Variation of ringdown statistics with threshold
# InstrumentName,SADS2020_HF_PK
# SchemeFile,C:\Picarro\G2000\AppConfig\Schemes\HCL_peak.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,9
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,49551.9023438
# TUNER_SWEEP_RAMP_LOW_REGISTER,15994.0976562
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,47451.9023438
# TUNER_WINDOW_RAMP_LOW_REGISTER,18094.0976562
# TWGEN_SLOPE_DOWN,37500
# TWGEN_SLOPE_UP,5000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,341.88,967.7210,0.0922,5739.1888,3.32,892.0764,48.24643
,,3000,204.58,0.2778,0.7727,5739.1892,1.23,2.1464,0.15006
,,4000,204.58,0.1364,0.7730,5739.1892,1.21,1.0543,0.07371
,,5000,204.58,0.1022,0.7732,5739.1892,1.22,0.7902,0.05525
,,6000,204.58,0.0821,0.7734,5739.1892,1.27,0.6346,0.04437
,,7000,204.58,0.0696,0.7736,5739.1892,1.22,0.5385,0.03765
,,8000,204.54,0.0630,0.7738,5739.1892,1.26,0.4877,0.03410
,,9000,204.42,0.0517,0.7740,5739.1892,1.23,0.4002,0.02799
,,10000,203.71,0.0480,0.7742,5739.1892,1.28,0.3715,0.02603
,,11000,202.43,0.0410,0.7744,5739.1892,1.31,0.3173,0.02230
,,12000,201.17,0.0379,0.7744,5739.1892,1.32,0.2932,0.02067
,,13000,199.80,0.0374,0.7744,5739.1892,1.37,0.2900,0.02052
,,14000,192.79,0.0361,0.7744,5739.1892,1.43,0.2793,0.02011
,,15000,190.11,0.0369,0.7745,5739.1892,1.44,0.2857,0.02072
,,16000,182.18,0.0359,0.7745,5739.1892,1.49,0.2782,0.02061
