# DateTime,20170711_152302
# Description,Variation of ringdown statistics with threshold
# InstrumentName,SADS2020_HF_BL
# SchemeFile,/home/picarro/I2000/AppConfig/Schemes/HCL_baseline.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,9
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,50245.0234375
# TUNER_SWEEP_RAMP_LOW_REGISTER,15249.9755859
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,48145.0234375
# TUNER_WINDOW_RAMP_LOW_REGISTER,17349.9765625
# TWGEN_SLOPE_DOWN,37500
# TWGEN_SLOPE_UP,5000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,335.91,2091.4165,0.1094,5739.2622,3.60,2287.1689,124.79221
,,3000,204.62,0.2502,0.7768,5739.2626,1.41,1.9438,0.13588
,,4000,204.58,0.1354,0.7771,5739.2626,1.41,1.0522,0.07356
,,5000,204.54,0.1138,0.7773,5739.2626,1.37,0.8848,0.06187
,,6000,204.62,0.0856,0.7775,5739.2626,1.40,0.6657,0.04654
,,7000,204.58,0.0755,0.7778,5739.2626,1.43,0.5874,0.04107
,,8000,204.54,0.0692,0.7780,5739.2626,1.47,0.5381,0.03763
,,9000,204.21,0.0587,0.7782,5739.2626,1.48,0.4569,0.03197
,,10000,203.21,0.0501,0.7784,5739.2626,1.45,0.3899,0.02735
,,11000,201.01,0.0403,0.7785,5739.2626,1.53,0.3138,0.02213
,,12000,195.92,0.0384,0.7786,5739.2626,1.58,0.2988,0.02135
,,13000,195.39,0.0388,0.7786,5739.2626,1.59,0.3025,0.02164
,,14000,190.69,0.0374,0.7786,5739.2626,1.58,0.2909,0.02107
,,15000,181.98,0.0372,0.7786,5739.2626,1.61,0.2897,0.02147
,,16000,173.34,0.0383,0.7786,5739.2626,1.73,0.2981,0.02264
