# DateTime,20170711_152432
# Description,Variation of ringdown statistics with threshold
# InstrumentName,SADS2020_HF_PK
# SchemeFile,/home/picarro/I2000/AppConfig/Schemes/HCL_peak.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,9
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,50245.0234375
# TUNER_SWEEP_RAMP_LOW_REGISTER,15249.9755859
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,48145.0234375
# TUNER_WINDOW_RAMP_LOW_REGISTER,17349.9765625
# TWGEN_SLOPE_DOWN,37500
# TWGEN_SLOPE_UP,5000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,339.33,602.9816,0.0528,5739.1888,3.24,318.1370,17.27049
,,3000,204.58,0.2630,0.7782,5739.1892,1.28,2.0469,0.14311
,,4000,204.62,0.1374,0.7786,5739.1892,1.27,1.0696,0.07477
,,5000,204.58,0.1046,0.7789,5739.1892,1.34,0.8148,0.05696
,,6000,204.58,0.0893,0.7791,5739.1892,1.29,0.6954,0.04862
,,7000,204.62,0.0748,0.7793,5739.1892,1.39,0.5833,0.04078
,,8000,204.62,0.0651,0.7795,5739.1892,1.33,0.5077,0.03549
,,9000,204.16,0.0591,0.7798,5739.1892,1.43,0.4611,0.03227
,,10000,202.96,0.0508,0.7800,5739.1892,1.41,0.3963,0.02782
,,11000,201.57,0.0400,0.7801,5739.1892,1.42,0.3119,0.02197
,,12000,199.40,0.0375,0.7802,5739.1892,1.45,0.2922,0.02069
,,13000,198.06,0.0389,0.7802,5739.1892,1.48,0.3034,0.02156
,,14000,192.23,0.0381,0.7801,5739.1892,1.50,0.2970,0.02142
,,15000,185.49,0.0376,0.7802,5739.1892,1.61,0.2937,0.02156
,,16000,174.25,0.0381,0.7802,5739.1892,1.63,0.2969,0.02249
