# DateTime,20170426_100211
# Description,Variation of ringdown statistics with threshold
# InstrumentName,SADS2020_HF_BL
# SchemeFile,C:\Picarro\G2000\AppConfig\Schemes\HCL_baseline.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,9
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,49551.9023438
# TUNER_SWEEP_RAMP_LOW_REGISTER,15994.0976562
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,47451.9023438
# TUNER_WINDOW_RAMP_LOW_REGISTER,18094.0976562
# TWGEN_SLOPE_DOWN,37500
# TWGEN_SLOPE_UP,5000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,336.36,661.6931,0.1132,5739.2623,3.44,748.8569,40.83159
,,3000,204.58,0.3225,0.7969,5739.2627,1.29,2.5696,0.17965
,,4000,204.58,0.1375,0.7971,5739.2627,1.23,1.0962,0.07664
,,5000,204.54,0.1058,0.7974,5739.2626,1.25,0.8438,0.05900
,,6000,204.54,0.0924,0.7978,5739.2626,1.31,0.7375,0.05157
,,7000,204.54,0.0826,0.7981,5739.2626,1.33,0.6590,0.04608
,,8000,204.33,0.0627,0.7984,5739.2626,1.32,0.5010,0.03505
,,9000,204.54,0.0549,0.7986,5739.2626,1.34,0.4386,0.03067
,,10000,203.33,0.0487,0.7987,5739.2626,1.33,0.3887,0.02726
,,11000,202.72,0.0480,0.7987,5739.2626,1.35,0.3835,0.02693
,,12000,199.20,0.0490,0.7987,5739.2626,1.42,0.3915,0.02774
,,13000,195.35,0.0471,0.7987,5739.2626,1.45,0.3758,0.02689
,,14000,190.30,0.0492,0.7987,5739.2626,1.52,0.3931,0.02850
,,15000,181.36,0.0496,0.7987,5739.2626,1.59,0.3964,0.02943
,,16000,173.19,0.0485,0.7987,5739.2626,1.66,0.3876,0.02946
