"SamplePeriod","TriggerSample","CompressedData"
"0.00000002","1022","True"
"SampleNumber","DSP_I2C0","DSP_I2C1","Clock2","Clock1","ADCout","Data0","Data1","Data2","Data3","Data4","Data5","Data6","Data7","Data8","Data9","Data10","Data11","Data12","Data13"
"0","","","1","0","2282h","0","1","0","0","0","0","0","1","0","1","0","0","0","1"
"2","","","1","0","2263h","1","1","0","0","0","1","1","0","0","1","0","0","0","1"
"4","","","1","0","2243h","1","1","0","0","0","0","1","0","0","1","0","0","0","1"
"6","","","1","0","2227h","1","1","1","0","0","1","0","0","0","1","0","0","0","1"
"8","","","1","0","2208h","0","0","0","1","0","0","0","0","0","1","0","0","0","1"
"10","","","1","0","21E9h","1","0","0","1","0","1","1","1","1","0","0","0","0","1"
"12","","","1","0","21CFh","1","1","1","1","0","0","1","1","1","0","0","0","0","1"
"14","","","1","0","21B3h","1","1","0","0","1","1","0","1","1","0","0","0","0","1"
"16","","","1","0","2194h","0","0","1","0","1","0","0","1","1","0","0","0","0","1"
"18","","","1","0","2176h","0","1","1","0","1","1","1","0","1","0","0","0","0","1"
"20","","","1","0","2154h","0","0","1","0","1","0","1","0","1","0","0","0","0","1"
"22","","","1","0","213Bh","1","1","0","1","1","1","0","0","1","0","0","0","0","1"
"24","","","1","0","2121h","1","0","0","0","0","1","0","0","1","0","0","0","0","1"
"26","","","1","0","2101h","1","0","0","0","0","0","0","0","1","0","0","0","0","1"
"28","","","1","0","20E1h","1","0","0","0","0","1","1","1","0","0","0","0","0","1"
"30","","","1","0","20C6h","0","1","1","0","0","0","1","1","0","0","0","0","0","1"
"32","","","1","0","20A9h","1","0","0","1","0","1","0","1","0","0","0","0","0","1"
"34","","","1","0","208Eh","0","1","1","1","0","0","0","1","0","0","0","0","0","1"
"36","","","1","0","2070h","0","0","0","0","1","1","1","0","0","0","0","0","0","1"
"38","","","1","0","204Eh","0","1","1","1","0","0","1","0","0","0","0","0","0","1"
"40","","","1","0","2030h","0","0","0","0","1","1","0","0","0","0","0","0","0","1"
"42","","","1","0","2015h","1","0","1","0","1","0","0","0","0","0","0","0","0","1"
"44","","","1","0","1FF5h","1","0","1","0","1","1","1","1","1","1","1","1","1","0"
"46","","","1","0","1FD6h","0","1","1","0","1","0","1","1","1","1","1","1","1","0"
"48","","","1","0","1FB9h","1","0","0","1","1","1","0","1","1","1","1","1","1","0"
"50","","","1","0","1F98h","0","0","0","1","1","0","0","1","1","1","1","1","1","0"
"52","","","1","0","1F7Eh","0","1","1","1","1","1","1","0","1","1","1","1","1","0"
"54","","","1","0","1F60h","0","0","0","0","0","1","1","0","1","1","1","1","1","0"
"56","","","1","0","1F46h","0","1","1","0","0","0","1","0","1","1","1","1","1","0"
"58","","","1","0","1F25h","1","0","1","0","0","1","0","0","1","1","1","1","1","0"
"60","","","1","0","1F0Bh","1","1","0","1","0","0","0","0","1","1","1","1","1","0"
"62","","","1","0","1EEAh","0","1","0","1","0","1","1","1","0","1","1","1","1","0"
"64","","","1","0","1ECEh","0","1","1","1","0","0","1","1","0","1","1","1","1","0"
"66","","","1","0","1EB0h","0","0","0","0","1","1","0","1","0","1","1","1","1","0"
"68","","","1","0","1E93h","1","1","0","0","1","0","0","1","0","1","1","1","1","0"
"70","","","1","0","1E73h","1","1","0","0","1","1","1","0","0","1","1","1","1","0"
"72","","","1","0","1E56h","0","1","1","0","1","0","1","0","0","1","1","1","1","0"
"74","","","1","0","1E38h","0","0","0","1","1","1","0","0","0","1","1","1","1","0"
"76","","","1","0","1E1Bh","1","1","0","1","1","0","0","0","0","1","1","1","1","0"
"78","","","1","0","1DFCh","0","0","1","1","1","1","1","1","1","0","1","1","1","0"
"80","","","1","0","1DDDh","1","0","1","1","1","0","1","1","1","0","1","1","1","0"
"82","","","1","0","1DC4h","0","0","1","0","0","0","1","1","1","0","1","1","1","0"
"84","","","1","0","1DA4h","0","0","1","0","0","1","0","1","1","0","1","1","1","0"
"86","","","1","0","1D89h","1","0","0","1","0","0","0","1","1","0","1","1","1","0"
"88","","","1","0","1D6Bh","1","1","0","1","0","1","1","0","1","0","1","1","1","0"
"90","","","1","0","1D52h","0","1","0","0","1","0","1","0","1","0","1","1","1","0"
"92","","","1","0","1D30h","0","0","0","0","1","1","0","0","1","0","1","1","1","0"
"94","","","1","0","1D12h","0","1","0","0","1","0","0","0","1","0","1","1","1","0"
"96","","","1","0","1CF6h","0","1","1","0","1","1","1","1","0","0","1","1","1","0"
"98","","","1","0","1CDAh","0","1","0","1","1","0","1","1","0","0","1","1","1","0"
"100","","","1","0","1CB8h","0","0","0","1","1","1","0","1","0","0","1","1","1","0"
"102","","","1","0","1C9Ch","0","0","1","1","1","0","0","1","0","0","1","1","1","0"
"104","","","1","0","1C81h","1","0","0","0","0","0","0","1","0","0","1","1","1","0"
"106","","","1","0","1C62h","0","1","0","0","0","1","1","0","0","0","1","1","1","0"
"108","","","1","0","1C44h","0","0","1","0","0","0","1","0","0","0","1","1","1","0"
"110","","","1","0","1C26h","0","1","1","0","0","1","0","0","0","0","1","1","1","0"
"112","","","1","0","1C06h","0","1","1","0","0","0","0","0","0","0","1","1","1","0"
"114","","","1","0","1BE7h","1","1","1","0","0","1","1","1","1","1","0","1","1","0"
"116","","","1","0","1BCFh","1","1","1","1","0","0","1","1","1","1","0","1","1","0"
"118","","","1","0","1BB2h","0","1","0","0","1","1","0","1","1","1","0","1","1","0"
"120","","","1","0","1B92h","0","1","0","0","1","0","0","1","1","1","0","1","1","0"
"122","","","1","0","1B76h","0","1","1","0","1","1","1","0","1","1","0","1","1","0"
"124","","","1","0","1B58h","0","0","0","1","1","0","1","0","1","1","0","1","1","0"
"126","","","1","0","1B3Bh","1","1","0","1","1","1","0","0","1","1","0","1","1","0"
"128","","","1","0","1B1Dh","1","0","1","1","1","0","0","0","1","1","0","1","1","0"
"130","","","1","0","1AFDh","1","0","1","1","1","1","1","1","0","1","0","1","1","0"
"132","","","1","0","1AE3h","1","1","0","0","0","1","1","1","0","1","0","1","1","0"
"134","","","1","0","1AC3h","1","1","0","0","0","0","1","1","0","1","0","1","1","0"
"136","","","1","0","1AA5h","1","0","1","0","0","1","0","1","0","1","0","1","1","0"
"138","","","1","0","1A87h","1","1","1","0","0","0","0","1","0","1","0","1","1","0"
"140","","","1","0","1A6Bh","1","1","0","1","0","1","1","0","0","1","0","1","1","0"
"142","","","1","0","1A4Fh","1","1","1","1","0","0","1","0","0","1","0","1","1","0"
"144","","","1","0","1A2Eh","0","1","1","1","0","1","0","0","0","1","0","1","1","0"
"146","","","1","0","1A12h","0","1","0","0","1","0","0","0","0","1","0","1","1","0"
"148","","","1","0","19F9h","1","0","0","1","1","1","1","1","1","0","0","1","1","0"
"150","","","1","0","19D9h","1","0","0","1","1","0","1","1","1","0","0","1","1","0"
"152","","","1","0","19BAh","0","1","0","1","1","1","0","1","1","0","0","1","1","0"
"154","","","1","0","19A0h","0","0","0","0","0","1","0","1","1","0","0","1","1","0"
"156","","","1","0","1982h","0","1","0","0","0","0","0","1","1","0","0","1","1","0"
"158","","","1","0","1962h","0","1","0","0","0","1","1","0","1","0","0","1","1","0"
"160","","","1","0","1946h","0","1","1","0","0","0","1","0","1","0","0","1","1","0"
"162","","","1","0","192Ch","0","0","1","1","0","1","0","0","1","0","0","1","1","0"
"164","","","1","0","190Ah","0","1","0","1","0","0","0","0","1","0","0","1","1","0"
"166","","","1","0","18EFh","1","1","1","1","0","1","1","1","0","0","0","1","1","0"
"168","","","1","0","18CFh","1","1","1","1","0","0","1","1","0","0","0","1","1","0"
"170","","","1","0","18B3h","1","1","0","0","1","1","0","1","0","0","0","1","1","0"
"172","","","1","0","1895h","1","0","1","0","1","0","0","1","0","0","0","1","1","0"
"174","","","1","0","187Bh","1","1","0","1","1","1","1","0","0","0","0","1","1","0"
"176","","","1","0","185Dh","1","0","1","1","1","0","1","0","0","0","0","1","1","0"
