"SamplePeriod","TriggerSample","CompressedData"
"0.00000002","4112","True"
"SampleNumber","DSP_I2C0","DSP_I2C1","Clock2","Clock1","ADCout","Data0","Data1","Data2","Data3","Data4","Data5","Data6","Data7","Data8","Data9","Data10","Data11","Data12","Data13"
"0","","","1","0","19A0h","0","0","0","0","0","1","0","1","1","0","0","1","1","0"
"8","","","1","0","1A14h","0","0","1","0","1","0","0","0","0","1","0","1","1","0"
"16","","","1","0","1A85h","1","0","1","0","0","0","0","1","0","1","0","1","1","0"
"24","","","1","0","1B00h","0","0","0","0","0","0","0","0","1","1","0","1","1","0"
"32","","","1","0","1B76h","0","1","1","0","1","1","1","0","1","1","0","1","1","0"
"40","","","1","0","1BEBh","1","1","0","1","0","1","1","1","1","1","0","1","1","0"
"48","","","1","0","1C61h","1","0","0","0","0","1","1","0","0","0","1","1","1","0"
"56","","","1","0","1CD5h","1","0","1","0","1","0","1","1","0","0","1","1","1","0"
"64","","","1","0","1D4Bh","1","1","0","1","0","0","1","0","1","0","1","1","1","0"
"72","","","1","0","1DC6h","0","1","1","0","0","0","1","1","1","0","1","1","1","0"
"80","","","1","0","1E36h","0","1","1","0","1","1","0","0","0","1","1","1","1","0"
"88","","","1","0","1EB2h","0","1","0","0","1","1","0","1","0","1","1","1","1","0"
"96","","","1","0","1F25h","1","0","1","0","0","1","0","0","1","1","1","1","1","0"
"104","","","1","0","1F9Dh","1","0","1","1","1","0","0","1","1","1","1","1","1","0"
"112","","","1","0","2010h","0","0","0","0","1","0","0","0","0","0","0","0","0","1"
"120","","","1","0","208Ah","0","1","0","1","0","0","0","1","0","0","0","0","0","1"
"128","","","1","0","2103h","1","1","0","0","0","0","0","0","1","0","0","0","0","1"
"136","","","1","0","2179h","1","0","0","1","1","1","1","0","1","0","0","0","0","1"
"144","","","1","0","21ECh","0","0","1","1","0","1","1","1","1","0","0","0","0","1"
"152","","","1","0","2266h","0","1","1","0","0","1","1","0","0","1","0","0","0","1"
"160","","","1","0","22DBh","1","1","0","1","1","0","1","1","0","1","0","0","0","1"
"168","","","1","0","2354h","0","0","1","0","1","0","1","0","1","1","0","0","0","1"
"176","","","1","0","23CAh","0","1","0","1","0","0","1","1","1","1","0","0","0","1"
"184","","","1","0","2441h","1","0","0","0","0","0","1","0","0","0","1","0","0","1"
"192","","","1","0","24BAh","0","1","0","1","1","1","0","1","0","0","1","0","0","1"
"200","","","1","0","2529h","1","0","0","1","0","1","0","0","1","0","1","0","0","1"
"208","","","1","0","25A6h","0","1","1","0","0","1","0","1","1","0","1","0","0","1"
"216","","","1","0","261Ch","0","0","1","1","1","0","0","0","0","1","1","0","0","1"
"224","","","1","0","2695h","1","0","1","0","1","0","0","1","0","1","1","0","0","1"
"232","","","1","0","270Eh","0","1","1","1","0","0","0","0","1","1","1","0","0","1"
"240","","","1","0","2780h","0","0","0","0","0","0","0","1","1","1","1","0","0","1"
"248","","","1","0","27F0h","0","0","0","0","1","1","1","1","1","1","1","0","0","1"
"256","","","1","0","2868h","0","0","0","1","0","1","1","0","0","0","0","1","0","1"
"264","","","1","0","28DFh","1","1","1","1","1","0","1","1","0","0","0","1","0","1"
"272","","","1","0","295Bh","1","1","0","1","1","0","1","0","1","0","0","1","0","1"
"280","","","1","0","29D0h","0","0","0","0","1","0","1","1","1","0","0","1","0","1"
"288","","","1","0","2A45h","1","0","1","0","0","0","1","0","0","1","0","1","0","1"
"296","","","1","0","2ABAh","0","1","0","1","1","1","0","1","0","1","0","1","0","1"
"304","","","1","0","2B30h","0","0","0","0","1","1","0","0","1","1","0","1","0","1"
"312","","","1","0","2BA5h","1","0","1","0","0","1","0","1","1","1","0","1","0","1"
"320","","","1","0","2C1Ch","0","0","1","1","1","0","0","0","0","0","1","1","0","1"
"328","","","1","0","2C91h","1","0","0","0","1","0","0","1","0","0","1","1","0","1"
"336","","","1","0","2D07h","1","1","1","0","0","0","0","0","1","0","1","1","0","1"
"344","","","1","0","2D7Eh","0","1","1","1","1","1","1","0","1","0","1","1","0","1"
"352","","","1","0","2DF5h","1","0","1","0","1","1","1","1","1","0","1","1","0","1"
"360","","","1","0","2E6Ah","0","1","0","1","0","1","1","0","0","1","1","1","0","1"
"368","","","1","0","2EE2h","0","1","0","0","0","1","1","1","0","1","1","1","0","1"
"376","","","1","0","2F57h","1","1","1","0","1","0","1","0","1","1","1","1","0","1"
"384","","","1","0","2FCCh","0","0","1","1","0","0","1","1","1","1","1","1","0","1"
"392","","","1","0","3044h","0","0","1","0","0","0","1","0","0","0","0","0","1","1"
"400","","","1","0","30B9h","1","0","0","1","1","1","0","1","0","0","0","0","1","1"
"408","","","1","0","312Fh","1","1","1","1","0","1","0","0","1","0","0","0","1","1"
"416","","","1","0","31A7h","1","1","1","0","0","1","0","1","1","0","0","0","1","1"
"424","","","1","0","3216h","0","1","1","0","1","0","0","0","0","1","0","0","1","1"
"432","","","1","0","328Bh","1","1","0","1","0","0","0","1","0","1","0","0","1","1"
"440","","","1","0","3306h","0","1","1","0","0","0","0","0","1","1","0","0","1","1"
"448","","","1","0","337Ah","0","1","0","1","1","1","1","0","1","1","0","0","1","1"
"456","","","1","0","33ECh","0","0","1","1","0","1","1","1","1","1","0","0","1","1"
"464","","","1","0","3467h","1","1","1","0","0","1","1","0","0","0","1","0","1","1"
"472","","","1","0","34DCh","0","0","1","1","1","0","1","1","0","0","1","0","1","1"
"480","","","1","0","354Fh","1","1","1","1","0","0","1","0","1","0","1","0","1","1"
"488","","","1","0","35C7h","1","1","1","0","0","0","1","1","1","0","1","0","1","1"
"496","","","1","0","3637h","1","1","1","0","1","1","0","0","0","1","1","0","1","1"
"504","","","1","0","36AFh","1","1","1","1","0","1","0","1","0","1","1","0","1","1"
"512","","","1","0","3726h","0","1","1","0","0","1","0","0","1","1","1","0","1","1"
"520","","","1","0","379Dh","1","0","1","1","1","0","0","1","1","1","1","0","1","1"
"528","","","1","0","3811h","1","0","0","0","1","0","0","0","0","0","0","1","1","1"
"536","","","1","0","3885h","1","0","1","0","0","0","0","1","0","0","0","1","1","1"
"544","","","1","0","38FDh","1","0","1","1","1","1","1","1","0","0","0","1","1","1"
"552","","","1","0","396Eh","0","1","1","1","0","1","1","0","1","0","0","1","1","1"
"560","","","1","0","39E6h","0","1","1","0","0","1","1","1","1","0","0","1","1","1"
"568","","","1","0","3A5Bh","1","1","0","1","1","0","1","0","0","1","0","1","1","1"
"576","","","1","0","3AD0h","0","0","0","0","1","0","1","1","0","1","0","1","1","1"
"584","","","1","0","3B44h","0","0","1","0","0","0","1","0","1","1","0","1","1","1"
"592","","","1","0","3BBAh","0","1","0","1","1","1","0","1","1","1","0","1","1","1"
"600","","","1","0","3C30h","0","0","0","0","1","1","0","0","0","0","1","1","1","1"
"608","","","1","0","3CA1h","1","0","0","0","0","1","0","1","0","0","1","1","1","1"
"616","","","1","0","3D16h","0","1","1","0","1","0","0","0","1","0","1","1","1","1"
"624","","","1","0","3D52h","0","1","0","0","1","0","1","0","1","0","1","1","1","1"
"632","","","1","0","3CD8h","0","0","0","1","1","0","1","1","0","0","1","1","1","1"
"640","","","1","0","3C60h","0","0","0","0","0","1","1","0","0","0","1","1","1","1"
"648","","","1","0","3BEFh","1","1","1","1","0","1","1","1","1","1","0","1","1","1"
"656","","","1","0","3B7Ch","0","0","1","1","1","1","1","0","1","1","0","1","1","1"
"664","","","1","0","3B06h","0","1","1","0","0","0","0","0","1","1","0","1","1","1"
"672","","","1","0","3A91h","1","0","0","0","1","0","0","1","0","1","0","1","1","1"
"680","","","1","0","3A1Bh","1","1","0","1","1","0","0","0","0","1","0","1","1","1"
"688","","","1","0","39ACh","0","0","1","1","0","1","0","1","1","0","0","1","1","1"
"696","","","1","0","3932h","0","1","0","0","1","1","0","0","1","0","0","1","1","1"
"704","","","1","0","38C1h","1","0","0","0","0","0","1","1","0","0","0","1","1","1"
"712","","","1","0","384Ah","0","1","0","1","0","0","1","0","0","0","0","1","1","1"
"720","","","1","0","37D4h","0","0","1","0","1","0","1","1","1","1","1","0","1","1"
"728","","","1","0","3761h","1","0","0","0","0","1","1","0","1","1","1","0","1","1"
"736","","","1","0","36E8h","0","0","0","1","0","1","1","1","0","1","1","0","1","1"
"744","","","1","0","3674h","0","0","1","0","1","1","1","0","0","1","1","0","1","1"
"752","","","1","0","3601h","1","0","0","0","0","0","0","0","0","1","1","0","1","1"
"760","","","1","0","358Bh","1","1","0","1","0","0","0","1","1","0","1","0","1","1"
"768","","","1","0","3511h","1","0","0","0","1","0","0","0","1","0","1","0","1","1"
"776","","","1","0","349Fh","1","1","1","1","1","0","0","1","0","0","1","0","1","1"
"784","","","1","0","3430h","0","0","0","0","1","1","0","0","0","0","1","0","1","1"
"792","","","1","0","33B2h","0","1","0","0","1","1","0","1","1","1","0","0","1","1"
"800","","","1","0","333Ch","0","0","1","1","1","1","0","0","1","1","0","0","1","1"
"808","","","1","0","32C7h","1","1","1","0","0","0","1","1","0","1","0","0","1","1"
"816","","","1","0","3251h","1","0","0","0","1","0","1","0","0","1","0","0","1","1"
"824","","","1","0","31DAh","0","1","0","1","1","0","1","1","1","0","0","0","1","1"
"832","","","1","0","3167h","1","1","1","0","0","1","1","0","1","0","0","0","1","1"
"840","","","1","0","30EFh","1","1","1","1","0","1","1","1","0","0","0","0","1","1"
"848","","","1","0","3079h","1","0","0","1","1","1","1","0","0","0","0","0","1","1"
"856","","","1","0","3003h","1","1","0","0","0","0","0","0","0","0","0","0","1","1"
"864","","","1","0","2F87h","1","1","1","0","0","0","0","1","1","1","1","1","0","1"
"872","","","1","0","2F16h","0","1","1","0","1","0","0","0","1","1","1","1","0","1"
"880","","","1","0","2E9Dh","1","0","1","1","1","0","0","1","0","1","1","1","0","1"
"888","","","1","0","2E27h","1","1","1","0","0","1","0","0","0","1","1","1","0","1"
"896","","","1","0","2DB2h","0","1","0","0","1","1","0","1","1","0","1","1","0","1"
"904","","","1","0","2D39h","1","0","0","1","1","1","0","0","1","0","1","1","0","1"
"912","","","1","0","2CC7h","1","1","1","0","0","0","1","1","0","0","1","1","0","1"
"920","","","1","0","2C4Ch","0","0","1","1","0","0","1","0","0","0","1","1","0","1"
"928","","","1","0","2BD5h","1","0","1","0","1","0","1","1","1","1","0","1","0","1"
"936","","","1","0","2B5Eh","0","1","1","1","1","0","1","0","1","1","0","1","0","1"
"944","","","1","0","2AEEh","0","1","1","1","0","1","1","1","0","1","0","1","0","1"
"952","","","1","0","2A76h","0","1","1","0","1","1","1","0","0","1","0","1","0","1"
"960","","","1","0","2A00h","0","0","0","0","0","0","0","0","0","1","0","1","0","1"
"968","","","1","0","298Ah","0","1","0","1","0","0","0","1","1","0","0","1","0","1"
"976","","","1","0","2914h","0","0","1","0","1","0","0","0","1","0","0","1","0","1"
"984","","","1","0","289Dh","1","0","1","1","1","0","0","1","0","0","0","1","0","1"
"992","","","1","0","2827h","1","1","1","0","0","1","0","0","0","0","0","1","0","1"
"1000","","","1","0","27B0h","0","0","0","0","1","1","0","1","1","1","1","0","0","1"
"1008","","","1","0","273Eh","0","1","1","1","1","1","0","0","1","1","1","0","0","1"
"1016","","","1","0","26C4h","0","0","1","0","0","0","1","1","0","1","1","0","0","1"
"1024","","","1","0","264Ch","0","0","1","1","0","0","1","0","0","1","1","0","0","1"
"1032","","","1","0","25DCh","0","0","1","1","1","0","1","1","1","0","1","0","0","1"
"1040","","","1","0","2567h","1","1","1","0","0","1","1","0","1","0","1","0","0","1"
"1048","","","1","0","24EAh","0","1","0","1","0","1","1","1","0","0","1","0","0","1"
"1056","","","1","0","2470h","0","0","0","0","1","1","1","0","0","0","1","0","0","1"
"1064","","","1","0","23F9h","1","0","0","1","1","1","1","1","1","1","0","0","0","1"
