"Tray","Vial","Identifier 1","Identifier 2"
1,1,"W-63333 /  / 208/808/","South Pole Water"
1,2,"W-63333 /  / 208/808/","South Pole Water"
1,3,"W-62000 /  / 208/808/","Tap Water Ref"
1,4,"W-62000 /  / 208/808/","Tap Water Ref"
1,5,"W-102920 /  / 208/808/","LQR5-38"
1,6,"W-102923 /  / 208/808/","LQSM3-11"
1,7,"W-102924 /  / 208/808/","LQSM7-10"
1,8,"W-62000 /  / 208/808/","Tap Water Ref"
1,9,"W-98583 /  / 208/808/","NV1195SW"
1,10,"W-98584 /  / 208/808/","NV1370SW"
1,11,"W-98585 /  / 208/808/","NV1391SW"
1,12,"W-62000 /  / 208/808/","Tap Water Ref"
1,13,"W-98586 /  / 208/808/","NV1693SW"
1,14,"W-98586 /  / 208/808/","NV1693SW"
1,15,"W-98587 /  / 208/808/","NV2149SW"
1,16,"W-62000 /  / 208/808/","Tap Water Ref"
1,17,"W-98588 /  / 208/808/","NV2215SW"
1,18,"W-98589 /  / 208/808/","NV2392SW"
1,19,"W-98590 /  / 208/808/","NV2412SW"
1,20,"W-62000 /  / 208/808/","Tap Water Ref"
1,21,"W-98591 /  / 208/808/","NV2539SW"
1,22,"W-98592 /  / 208/808/","NV2542SW"
1,23,"W-98593 /  / 208/808/","NV2642SW"
1,24,"W-62000 /  / 208/808/","Tap Water Ref"
1,25,"W-98594 /  / 208/808/","NV2735SW"
1,26,"W-98494 /  / 208/808/","NV2135SW"
1,27,"W-98595 /  / 208/808/","NV2746SW"
1,28,"W-62000 /  / 208/808/","Tap Water Ref"
1,29,"W-98596 /  / 208/808/","NV2791SW"
1,30,"W-98597 /  / 208/808/","NV2867SW"
1,31,"W-98598 /  / 208/808/","NV2900SW"
1,32,"W-62000 /  / 208/808/","Tap Water Ref"
1,33,"W-63333 /  / 208/808/","South Pole Water"
1,34,"W-63333 /  / 208/808/","South Pole Water"
1,35,"W-62000 /  / 208/808/","Tap Water Ref"
1,36,"W-62000 /  / 208/808/","Tap Water Ref"
1,37,"W-98600 /  / 208/808/","NV2946SW"
1,38,"W-98601 /  / 208/808/","NV3159SW"
1,39,"W-98602 /  / 208/808/","NV3207SW"
1,40,"W-62000 /  / 208/808/","Tap Water Ref"
1,41,"W-98583 /  / 208/808/","NV1195SW"
1,42,"W-98584 /  / 208/808/","NV1370SW"
1,43,"W-98585 /  / 208/808/","NV1391SW"
1,44,"W-62000 /  / 208/808/","Tap Water Ref"
1,45,"W-98586 /  / 208/808/","NV1693SW"
1,46,"W-98586 /  / 208/808/","NV1693SW"
1,47,"W-98587 /  / 208/808/","NV2149SW"
1,48,"W-62000 /  / 208/808/","Tap Water Ref"
1,49,"W-98588 /  / 208/808/","NV2215SW"
1,50,"W-98589 /  / 208/808/","NV2392SW"
1,51,"W-98590 /  / 208/808/","NV2412SW"
1,52,"W-62000 /  / 208/808/","Tap Water Ref"
1,53,"W-98591 /  / 208/808/","NV2539SW"
1,54,"W-98592 /  / 208/808/","NV2542SW"

