"Vial","id","addInfo"
1,"descr_1","info1"
2,"descr_2","info2"
3,"descr_3","info3"
4,"descr_4","info4"
5,"descr_5","info5"
6,"descr_6","info6"	
7,"descr_7","info7"
8,"descr_8","info8"
9,"descr_9","info9"
10,"descr_10","info10"
11,"descr_11","info11"
12,"descr_12","info12"
13,"descr_13","info13"
14,"descr_14","info14"
15,"descr_15","info15"
16,"descr_16","info16"	
17,"descr_17","info17"
18,"descr_18","info18"
19,"descr_19","info19"
20,"descr_20","info20"
21,"descr_21","info21"
22,"descr_22","info22"
23,"descr_23","info23"
24,"descr_24","info24"
25,"descr_25","info25"
26,"descr_26","info26"	
27,"descr_27","info27"
28,"descr_28","info28"
29,"descr_29","info29"
