EPOCH_TIME                ALARM_STATUS              INST_STATUS               HR_Delta_iCH4_Raw         HP_Delta_iCH4_Raw         CH4                       CH4up                     CH4down                   CH4dt                     ValveMask                 species                   GPS_ABS_LAT               GPS_ABS_LONG              GPS_FIT                   
1323142166.716            0                         963                       -4.4083362516E+001        -4.5131699770E+001        2.5006045230E+000         2.4342911364E+000         2.5055337389E+000         8.9800000000E-001         0.0000000000E+000         1.5000000000E+002         3.7626281544E+001         -1.2240488592E+002        2.0000000000E+000         
1323142167.315            0                         963                       -4.4083362516E+001        -4.5131699770E+001        2.5006045230E+000         2.4342911364E+000         2.5055337389E+000         8.9800000000E-001         0.0000000000E+000         1.5300000000E+002         3.7626321466E+001         -1.2240489191E+002        2.0000000000E+000         
1323142168.280            0                         963                       -4.3517287812E+001        -4.9415061056E+001        2.5182925708E+000         2.4979999273E+000         2.4790429083E+000         8.5550000000E-001         0.0000000000E+000         1.5000000000E+002         3.7626390658E+001         -1.2240490138E+002        2.0000000000E+000         
1323142169.212            0                         963                       -4.9997961374E+001        -4.1970076462E+001        2.5154143127E+000         2.5219126080E+000         2.5409255474E+000         8.8666406250E-001         0.0000000000E+000         1.5000000000E+002         3.7626462242E+001         -1.2240491126E+002        2.0000000000E+000         
1323142170.161            0                         963                       -5.7395456621E+001        -4.4959753280E+001        2.5026622162E+000         2.5310544128E+000         2.4949298279E+000         8.6050000000E-001         0.0000000000E+000         1.5000000000E+002         3.7626537511E+001         -1.2240492174E+002        2.0000000000E+000         
1323142171.219            0                         963                       -5.6700483185E+001        -5.3435394345E+001        2.4571031365E+000         2.4892018336E+000         2.4226751857E+000         8.6650000000E-001         0.0000000000E+000         1.5000000000E+002         3.7626622170E+001         -1.2240493337E+002        2.0000000000E+000         
1323142172.178            0                         963                       -5.3070757351E+001        -5.0814201638E+001        2.4399738879E+000         2.4265470457E+000         2.4474612791E+000         8.7725000000E-001         0.0000000000E+000         1.5000000000E+002         3.7626697840E+001         -1.2240494351E+002        2.0000000000E+000         
1323142172.789            0                         963                       -5.9360759642E+001        -4.5022146922E+001        2.4422375319E+000         2.4515911613E+000         2.4744066886E+000         8.8916406250E-001         0.0000000000E+000         1.5000000000E+002         3.7626745699E+001         -1.2240494961E+002        2.0000000000E+000         
1323142173.390            0                         963                       -5.9360759642E+001        -4.5022146922E+001        2.4422375319E+000         2.4515911613E+000         2.4744066886E+000         8.8916406250E-001         0.0000000000E+000         1.5300000000E+002         3.7626792673E+001         -1.2240495547E+002        2.0000000000E+000         
1323142174.324            0                         963                       -5.0956045387E+001        -4.0555109544E+001        2.4543863684E+000         2.4679586423E+000         2.4622547604E+000         8.4850000000E-001         0.0000000000E+000         1.5000000000E+002         3.7626864322E+001         -1.2240496430E+002        2.0000000000E+000         
1323142175.273            0                         963                       -5.1305191925E+001        -4.1483575739E+001        2.4176784436E+000         2.4516135403E+000         2.3889267605E+000         8.7216406250E-001         0.0000000000E+000         1.5000000000E+002         3.7626937088E+001         -1.2240497281E+002        2.0000000000E+000         
1323142176.222            0                         963                       -5.8065735996E+001        -5.2434107601E+001        2.3806643450E+000         2.3933925638E+000         2.3592251932E+000         8.8516406250E-001         0.0000000000E+000         1.5000000000E+002         3.7627010780E+001         -1.2240498149E+002        2.0000000000E+000         
1323142177.153            0                         963                       -4.3505813745E+001        -4.4211464113E+001        2.3638978464E+000         2.3442112472E+000         2.3517977828E+000         8.6183593750E-001         0.0000000000E+000         1.5000000000E+002         3.7627084771E+001         -1.2240498982E+002        2.0000000000E+000         
1323142178.237            0                         963                       -6.5033072784E+001        -5.9233557988E+001        2.3753393846E+000         2.3944181474E+000         2.3744825212E+000         8.7100000000E-001         0.0000000000E+000         1.5000000000E+002         3.7627171877E+001         -1.2240499994E+002        2.0000000000E+000         
1323142178.846            0                         963                       -3.5087866899E+001        -3.9395254423E+001        2.3871555466E+000         2.3578317695E+000         2.3436000252E+000         8.7900000000E-001         0.0000000000E+000         1.5000000000E+002         3.7627221377E+001         -1.2240500597E+002        2.0000000000E+000         
1323142179.473            0                         963                       -3.5087866899E+001        -3.9395254423E+001        2.3871555466E+000         2.3578317695E+000         2.3436000252E+000         8.7900000000E-001         0.0000000000E+000         1.5300000000E+002         3.7627272412E+001         -1.2240501228E+002        2.0000000000E+000         
1323142180.442            0                         963                       -4.3814430813E+001        -3.8514873066E+001        2.4103398846E+000         2.4013629099E+000         2.4108600596E+000         8.8950000000E-001         0.0000000000E+000         1.5000000000E+002         3.7627350219E+001         -1.2240502212E+002        2.0000000000E+000         
1323142181.394            0                         963                       -4.8393433717E+001        -4.4885990505E+001        2.3961758131E+000         2.3966644923E+000         2.3777074732E+000         8.9433593750E-001         0.0000000000E+000         1.5000000000E+002         3.7627424385E+001         -1.2240503134E+002        2.0000000000E+000         
1323142182.357            0                         963                       -4.6529773023E+001        -4.6202918865E+001        2.3664959232E+000         2.3345713024E+000         2.3345713024E+000         8.8450000000E-001         0.0000000000E+000         1.5000000000E+002         3.7627495421E+001         -1.2240503904E+002        2.0000000000E+000         
1323142183.305            0                         963                       -4.5150235658E+001        -4.8213870082E+001        2.3699430249E+000         2.3408506050E+000         2.3636381721E+000         8.8575000000E-001         0.0000000000E+000         1.5000000000E+002         3.7627561645E+001         -1.2240504605E+002        2.0000000000E+000         
1323142184.234            0                         963                       -5.1629369081E+001        -4.3170671113E+001        2.3899651465E+000         2.3849342309E+000         2.4077217981E+000         8.5950000000E-001         0.0000000000E+000         1.5000000000E+002         3.7627618744E+001         -1.2240505322E+002        2.0000000000E+000         
1323142184.857            0                         963                       -4.6292714645E+001        -4.5479594714E+001        2.3957888988E+000         2.3794640569E+000         2.3823159978E+000         8.6075000000E-001         0.0000000000E+000         1.5000000000E+002         3.7627650239E+001         -1.2240505760E+002        2.0000000000E+000         
1323142185.468            0                         963                       -4.6292714645E+001        -4.5479594714E+001        2.3957888988E+000         2.3794640569E+000         2.3823159978E+000         8.6075000000E-001         0.0000000000E+000         1.5300000000E+002         3.7627678042E+001         -1.2240506162E+002        2.0000000000E+000         
1323142186.408            0                         963                       -5.5304024756E+001        -4.7541887055E+001        2.4279928980E+000         2.4112770147E+000         2.4435803717E+000         8.6650000000E-001         0.0000000000E+000         1.5000000000E+002         3.7627709684E+001         -1.2240506640E+002        2.0000000000E+000         
1323142187.334            0                         963                       -4.0817695338E+001        -3.7696646857E+001        2.4501951150E+000         2.4439766095E+000         2.4496804914E+000         8.5983593750E-001         0.0000000000E+000         1.5000000000E+002         3.7627725063E+001         -1.2240506904E+002        2.0000000000E+000         
1323142188.284            0                         963                       -4.3654670872E+001        -4.5968286678E+001        2.4556036595E+000         2.4400263637E+000         2.4257666591E+000         8.6825000000E-001         0.0000000000E+000         1.5000000000E+002         3.7627738344E+001         -1.2240507129E+002        2.0000000000E+000         
1323142189.226            0                         963                       -5.2478222958E+001        -4.9409177050E+001        2.4432948542E+000         2.4552734801E+000         2.4058771178E+000         8.6350000000E-001         0.0000000000E+000         1.5000000000E+002         3.7627757031E+001         -1.2240507381E+002        2.0000000000E+000         
1323142190.175            0                         963                       -3.8258993925E+001        -4.6773019003E+001        2.4312099473E+000         2.3985889639E+000         2.3758013968E+000         8.7800000000E-001         0.0000000000E+000         1.5000000000E+002         3.7627786029E+001         -1.2240507793E+002        2.0000000000E+000         
1323142190.785            0                         963                       -5.4322198637E+001        -4.9121886220E+001        2.4132089117E+000         2.4100068473E+000         2.4043309257E+000         8.7000000000E-001         0.0000000000E+000         1.5000000000E+002         3.7627810544E+001         -1.2240508123E+002        2.0000000000E+000         
1323142191.389            0                         963                       -5.4322198637E+001        -4.9121886220E+001        2.4132089117E+000         2.4100068473E+000         2.4043309257E+000         8.7000000000E-001         0.0000000000E+000         1.5300000000E+002         3.7627837302E+001         -1.2240508474E+002        2.0000000000E+000         
1323142192.314            0                         963                       -4.5544334379E+001        -4.5064251648E+001        2.3695874919E+000         2.3638260754E+000         2.3153710400E+000         8.5825000000E-001         0.0000000000E+000         1.5000000000E+002         3.7627886842E+001         -1.2240509152E+002        2.0000000000E+000         
1323142193.248            0                         963                       -3.2099281236E+001        -4.0276337026E+001        2.3454174181E+000         2.3173874611E+000         2.3002758156E+000         8.5100000000E-001         0.0000000000E+000         1.5000000000E+002         3.7627944163E+001         -1.2240510023E+002        2.0000000000E+000         
