EPOCH_TIME                ALARM_STATUS              INST_STATUS               GPS_ABS_LAT               GPS_ABS_LONG              GPS_FIT                   
1300000000.000            0                         963                       3.7000090108e+01          -1.2000000000e+02         2.0000000000e+00          
1300000001.000            0                         963                       3.7000089077e+01          -1.1999996202e+02         2.0000000000e+00          
1300000002.000            0                         963                       3.7000077635e+01          -1.1999992515e+02         2.0000000000e+00          
1300000003.000            0                         963                       3.7000056359e+01          -1.1999989387e+02         2.0000000000e+00          
1300000004.000            0                         963                       3.7000027038e+01          -1.1999987220e+02         2.0000000000e+00          
1300000005.000            0                         963                       3.6999992518e+01          -1.1999986331e+02         2.0000000000e+00          
1300000006.000            0                         963                       3.6999956413e+01          -1.1999986903e+02         2.0000000000e+00          
1300000007.000            0                         963                       3.6999922708e+01          -1.1999988961e+02         2.0000000000e+00          
1300000008.000            0                         963                       3.6999895320e+01          -1.1999992359e+02         2.0000000000e+00          
1300000009.000            0                         963                       3.6999877638e+01          -1.1999996796e+02         2.0000000000e+00          
1300000010.000            0                         963                       3.6999872122e+01          -1.2000001839e+02         2.0000000000e+00          
1300000011.000            0                         963                       3.6999879992e+01          -1.2000006969e+02         2.0000000000e+00          
1300000012.000            0                         963                       3.6999901048e+01          -1.2000011634e+02         2.0000000000e+00          
1300000013.000            0                         963                       3.6999933647e+01          -1.2000015314e+02         2.0000000000e+00          
1300000014.000            0                         963                       3.6999974838e+01          -1.2000017571e+02         2.0000000000e+00          
1300000015.000            0                         963                       3.7000020637e+01          -1.2000018107e+02         2.0000000000e+00          
1300000016.000            0                         963                       3.7000066431e+01          -1.2000016793e+02         2.0000000000e+00          
1300000017.000            0                         963                       3.7000107449e+01          -1.2000013692e+02         2.0000000000e+00          
1300000018.000            0                         963                       3.7000139262e+01          -1.2000009057e+02         2.0000000000e+00          
1300000019.000            0                         963                       3.7000158260e+01          -1.2000003306e+02         2.0000000000e+00          
1300000020.000            0                         963                       3.7000162042e+01          -1.1999996988e+02         2.0000000000e+00          
1300000021.000            0                         963                       3.7000149700e+01          -1.1999990724e+02         2.0000000000e+00          
1300000022.000            0                         963                       3.7000121937e+01          -1.1999985147e+02         2.0000000000e+00          
1300000023.000            0                         963                       3.7000081039e+01          -1.1999980838e+02         2.0000000000e+00          
1300000024.000            0                         963                       3.7000030668e+01          -1.1999978266e+02         2.0000000000e+00          
1300000025.000            0                         963                       3.6999975529e+01          -1.1999977739e+02         2.0000000000e+00          
1300000026.000            0                         963                       3.6999920910e+01          -1.1999979369e+02         2.0000000000e+00          
1300000027.000            0                         963                       3.6999872175e+01          -1.1999983057e+02         2.0000000000e+00          
1300000028.000            0                         963                       3.6999834232e+01          -1.1999988500e+02         2.0000000000e+00          
1300000029.000            0                         963                       3.6999811044e+01          -1.1999995219e+02         2.0000000000e+00          
1300000030.000            0                         963                       3.6999805226e+01          -1.2000002600e+02         2.0000000000e+00          
1300000031.000            0                         963                       3.6999817773e+01          -1.2000009951e+02         2.0000000000e+00          
1300000032.000            0                         963                       3.6999847940e+01          -1.2000016572e+02         2.0000000000e+00          
1300000033.000            0                         963                       3.6999893283e+01          -1.2000021818e+02         2.0000000000e+00          
1300000034.000            0                         963                       3.6999949877e+01          -1.2000025161e+02         2.0000000000e+00          
1300000035.000            0                         963                       3.7000012663e+01          -1.2000026246e+02         2.0000000000e+00          
1300000036.000            0                         963                       3.7000075911e+01          -1.2000024921e+02         2.0000000000e+00          
1300000037.000            0                         963                       3.7000133755e+01          -1.2000021259e+02         2.0000000000e+00          
1300000038.000            0                         963                       3.7000180733e+01          -1.2000015550e+02         2.0000000000e+00          
1300000039.000            0                         963                       3.7000212302e+01          -1.2000008278e+02         2.0000000000e+00          
1300000040.000            0                         963                       3.7000225270e+01          -1.2000000078e+02         2.0000000000e+00          
1300000041.000            0                         963                       3.7000218096e+01          -1.1999991681e+02         2.0000000000e+00          
1300000042.000            0                         963                       3.7000191058e+01          -1.1999983844e+02         2.0000000000e+00          
1300000043.000            0                         963                       3.7000146236e+01          -1.1999977286e+02         2.0000000000e+00          
1300000044.000            0                         963                       3.7000087345e+01          -1.1999972619e+02         2.0000000000e+00          
1300000045.000            0                         963                       3.7000019414e+01          -1.1999970293e+02         2.0000000000e+00          
1300000046.000            0                         963                       3.6999948341e+01          -1.1999970555e+02         2.0000000000e+00          
1300000047.000            0                         963                       3.6999880382e+01          -1.1999973425e+02         2.0000000000e+00          
1300000048.000            0                         963                       3.6999821589e+01          -1.1999978690e+02         2.0000000000e+00          
1300000049.000            0                         963                       3.6999777274e+01          -1.1999985926e+02         2.0000000000e+00          
1300000050.000            0                         963                       3.6999751542e+01          -1.1999994529e+02         2.0000000000e+00          
1300000051.000            0                         963                       3.6999746912e+01          -1.2000003770e+02         2.0000000000e+00          
1300000052.000            0                         963                       3.6999764097e+01          -1.2000012855e+02         2.0000000000e+00          
1300000053.000            0                         963                       3.6999801922e+01          -1.2000020997e+02         2.0000000000e+00          
1300000054.000            0                         963                       3.6999857420e+01          -1.2000027482e+02         2.0000000000e+00          
1300000055.000            0                         963                       3.6999926072e+01          -1.2000031731e+02         2.0000000000e+00          
1300000056.000            0                         963                       3.7000002194e+01          -1.2000033351e+02         2.0000000000e+00          
1300000057.000            0                         963                       3.7000079410e+01          -1.2000032171e+02         2.0000000000e+00          
1300000058.000            0                         963                       3.7000151193e+01          -1.2000028254e+02         2.0000000000e+00          
1300000059.000            0                         963                       3.7000211419e+01          -1.2000021896e+02         2.0000000000e+00          
1300000060.000            0                         963                       3.7000254887e+01          -1.2000013603e+02         2.0000000000e+00          
1300000061.000            0                         963                       3.7000277759e+01          -1.2000004044e+02         2.0000000000e+00          
1300000062.000            0                         963                       3.7000277884e+01          -1.1999994002e+02         2.0000000000e+00          
1300000063.000            0                         963                       3.7000254993e+01          -1.1999984306e+02         2.0000000000e+00          
1300000064.000            0                         963                       3.7000210719e+01          -1.1999975760e+02         2.0000000000e+00          
1300000065.000            0                         963                       3.7000148476e+01          -1.1999969083e+02         2.0000000000e+00          
1300000066.000            0                         963                       3.7000073179e+01          -1.1999964843e+02         2.0000000000e+00          
1300000067.000            0                         963                       3.6999990848e+01          -1.1999963411e+02         2.0000000000e+00          
1300000068.000            0                         963                       3.6999908120e+01          -1.1999964934e+02         2.0000000000e+00          
1300000069.000            0                         963                       3.6999831706e+01          -1.1999969319e+02         2.0000000000e+00          
1300000070.000            0                         963                       3.6999767849e+01          -1.1999976238e+02         2.0000000000e+00          
1300000071.000            0                         963                       3.6999721817e+01          -1.1999985160e+02         2.0000000000e+00          
1300000072.000            0                         963                       3.6999697477e+01          -1.1999995387e+02         2.0000000000e+00          
1300000073.000            0                         963                       3.6999696979e+01          -1.2000006113e+02         2.0000000000e+00          
1300000074.000            0                         963                       3.6999720583e+01          -1.2000016487e+02         2.0000000000e+00          
1300000075.000            0                         963                       3.6999766631e+01          -1.2000025684e+02         2.0000000000e+00          
1300000076.000            0                         963                       3.6999831677e+01          -1.2000032963e+02         2.0000000000e+00          
1300000077.000            0                         963                       3.6999910757e+01          -1.2000037735e+02         2.0000000000e+00          
1300000078.000            0                         963                       3.6999997773e+01          -1.2000039603e+02         2.0000000000e+00          
1300000079.000            0                         963                       3.7000085979e+01          -1.2000038396e+02         2.0000000000e+00          
1300000080.000            0                         963                       3.7000168498e+01          -1.2000034184e+02         2.0000000000e+00          
1300000081.000            0                         963                       3.7000238867e+01          -1.2000027270e+02         2.0000000000e+00          
1300000082.000            0                         963                       3.7000291534e+01          -1.2000018168e+02         2.0000000000e+00          
1300000083.000            0                         963                       3.7000322294e+01          -1.2000007565e+02         2.0000000000e+00          
1300000084.000            0                         963                       3.7000328611e+01          -1.1999996265e+02         2.0000000000e+00          
1300000085.000            0                         963                       3.7000309817e+01          -1.1999985131e+02         2.0000000000e+00          
1300000086.000            0                         963                       3.7000267166e+01          -1.1999975016e+02         2.0000000000e+00          
1300000087.000            0                         963                       3.7000203737e+01          -1.1999966697e+02         2.0000000000e+00          
1300000088.000            0                         963                       3.7000124201e+01          -1.1999960820e+02         2.0000000000e+00          
1300000089.000            0                         963                       3.7000034470e+01          -1.1999957846e+02         2.0000000000e+00          
1300000090.000            0                         963                       3.6999941249e+01          -1.1999958021e+02         2.0000000000e+00          
1300000091.000            0                         963                       3.6999851527e+01          -1.1999961351e+02         2.0000000000e+00          
1300000092.000            0                         963                       3.6999772058e+01          -1.1999967609e+02         2.0000000000e+00          
1300000093.000            0                         963                       3.6999708849e+01          -1.1999976345e+02         2.0000000000e+00          
1300000094.000            0                         963                       3.6999666715e+01          -1.1999986923e+02         2.0000000000e+00          
1300000095.000            0                         963                       3.6999648918e+01          -1.1999998570e+02         2.0000000000e+00          
1300000096.000            0                         963                       3.6999656926e+01          -1.2000010430e+02         2.0000000000e+00          
1300000097.000            0                         963                       3.6999690304e+01          -1.2000021628e+02         2.0000000000e+00          
1300000098.000            0                         963                       3.6999746747e+01          -1.2000031337e+02         2.0000000000e+00          
1300000099.000            0                         963                       3.6999822247e+01          -1.2000038834e+02         2.0000000000e+00          
1300000100.000            0                         963                       3.6999911391e+01          -1.2000043559e+02         2.0000000000e+00          
1300000101.000            0                         963                       3.7000007756e+01          -1.2000045152e+02         2.0000000000e+00          
1300000102.000            0                         963                       3.7000104375e+01          -1.2000043479e+02         2.0000000000e+00          
1300000103.000            0                         963                       3.7000194246e+01          -1.2000038644e+02         2.0000000000e+00          
1300000104.000            0                         963                       3.7000270837e+01          -1.2000030979e+02         2.0000000000e+00          
1300000105.000            0                         963                       3.7000328559e+01          -1.2000021021e+02         2.0000000000e+00          
1300000106.000            0                         963                       3.7000363167e+01          -1.2000009475e+02         2.0000000000e+00          
1300000107.000            0                         963                       3.7000372063e+01          -1.1999997159e+02         2.0000000000e+00          
1300000108.000            0                         963                       3.7000354483e+01          -1.1999984949e+02         2.0000000000e+00          
1300000109.000            0                         963                       3.7000311547e+01          -1.1999973714e+02         2.0000000000e+00          
1300000110.000            0                         963                       3.7000246180e+01          -1.1999964258e+02         2.0000000000e+00          
1300000111.000            0                         963                       3.7000162904e+01          -1.1999957258e+02         2.0000000000e+00          
1300000112.000            0                         963                       3.7000067513e+01          -1.1999953221e+02         2.0000000000e+00          
1300000113.000            0                         963                       3.6999966667e+01          -1.1999952444e+02         2.0000000000e+00          
1300000114.000            0                         963                       3.6999867421e+01          -1.1999954996e+02         2.0000000000e+00          
1300000115.000            0                         963                       3.6999776729e+01          -1.1999960715e+02         2.0000000000e+00          
1300000116.000            0                         963                       3.6999700961e+01          -1.1999969214e+02         2.0000000000e+00          
1300000117.000            0                         963                       3.6999645456e+01          -1.1999979915e+02         2.0000000000e+00          
1300000118.000            0                         963                       3.6999614154e+01          -1.1999992084e+02         2.0000000000e+00          
1300000119.000            0                         963                       3.6999609325e+01          -1.2000004884e+02         2.0000000000e+00          
1300000120.000            0                         963                       3.6999631412e+01          -1.2000017435e+02         2.0000000000e+00          
1300000121.000            0                         963                       3.6999679004e+01          -1.2000028871e+02         2.0000000000e+00          
1300000122.000            0                         963                       3.6999748937e+01          -1.2000038402e+02         2.0000000000e+00          
1300000123.000            0                         963                       3.6999836510e+01          -1.2000045369e+02         2.0000000000e+00          
1300000124.000            0                         963                       3.6999935811e+01          -1.2000049286e+02         2.0000000000e+00          
1300000125.000            0                         963                       3.7000040121e+01          -1.2000049873e+02         2.0000000000e+00          
1300000126.000            0                         963                       3.7000142374e+01          -1.2000047079e+02         2.0000000000e+00          
1300000127.000            0                         963                       3.7000235634e+01          -1.2000041080e+02         2.0000000000e+00          
1300000128.000            0                         963                       3.7000313565e+01          -1.2000032269e+02         2.0000000000e+00          
1300000129.000            0                         963                       3.7000370861e+01          -1.2000021231e+02         2.0000000000e+00          
1300000130.000            0                         963                       3.7000403595e+01          -1.2000008700e+02         2.0000000000e+00          
1300000131.000            0                         963                       3.7000409487e+01          -1.1999995510e+02         2.0000000000e+00          
