EPOCH_TIME                ALARM_STATUS              INST_STATUS               13CH4                     C13_Delta_Raw             CH4                       GPS_TIME                  GPS_ABS_LAT               GPS_REL_LAT               GPS_ABS_LONG              GPS_REL_LONG              GPS_FIT                   
1319755899.330            0                         963                       2.7020168282E-002         -5.2769207943E+001        2.2652665600E+000         8.2299000000E+004         3.7402728058E+001         4.0272805815E-001         -1.2198502832E+002        -9.8502831775E-001        2.0000000000E+000         
1319755899.790            0                         963                       2.7125552564E-002         -5.3128653083E+001        2.2652665600E+000         8.2299000000E+004         3.7402707440E+001         4.0270744003E-001         -1.2198502481E+002        -9.8502481155E-001        2.0000000000E+000         
1319755900.400            0                         963                       2.7125552564E-002         -5.3128653083E+001        2.2658848462E+000         8.2300000000E+004         3.7402677355E+001         4.0267735515E-001         -1.2198502021E+002        -9.8502020529E-001        2.0000000000E+000         
1319755900.802            0                         963                       2.7312036455E-002         -4.8261105932E+001        2.2658848462E+000         8.2300000000E+004         3.7402657174E+001         4.0265717422E-001         -1.2198501718E+002        -9.8501717529E-001        2.0000000000E+000         
1319755901.311            0                         963                       2.7312036455E-002         -4.8261105932E+001        2.2658848462E+000         8.2301000000E+004         3.7402631333E+001         4.0263133321E-001         -1.2198501345E+002        -9.8501344824E-001        2.0000000000E+000         
1319755901.773            0                         963                       2.7231445184E-002         -4.8261105932E+001        2.2658848462E+000         8.2301000000E+004         3.7402607824E+001         4.0260782357E-001         -1.2198501009E+002        -9.8501008611E-001        2.0000000000E+000         
1319755902.369            0                         963                       2.7231445184E-002         -4.8261105932E+001        2.2676511154E+000         8.2302000000E+004         3.7402575914E+001         4.0257591370E-001         -1.2198500732E+002        -9.8500731595E-001        2.0000000000E+000         
1319755902.835            0                         963                       2.7261393405E-002         -4.7751081088E+001        2.2676511154E+000         8.2302000000E+004         3.7402550662E+001         4.0255066202E-001         -1.2198500545E+002        -9.8500544931E-001        2.0000000000E+000         
1319755903.428            0                         963                       2.7261393405E-002         -4.7751081088E+001        2.2701872616E+000         8.2303000000E+004         3.7402519340E+001         4.0251933983E-001         -1.2198500682E+002        -9.8500682058E-001        2.0000000000E+000         
1319755903.900            0                         963                       2.7387966002E-002         -4.6025550717E+001        2.2701872616E+000         8.2304000000E+004         3.7402494520E+001         4.0249452000E-001         -1.2198500825E+002        -9.8500824974E-001        2.0000000000E+000         
1319755904.491            0                         963                       2.7387966002E-002         -4.6025550717E+001        2.2698605799E+000         8.2304000000E+004         3.7402466053E+001         4.0246605330E-001         -1.2198501194E+002        -9.8501193807E-001        2.0000000000E+000         
1319755904.962            0                         963                       2.7434344333E-002         -4.2638182456E+001        2.2698605799E+000         8.2305000000E+004         3.7402443707E+001         4.0244370739E-001         -1.2198501484E+002        -9.8501483619E-001        2.0000000000E+000         
1319755905.550            0                         963                       2.7434344333E-002         -4.2638182456E+001        2.2710832544E+000         8.2305000000E+004         3.7402418168E+001         4.0241816801E-001         -1.2198501817E+002        -9.8501816839E-001        2.0000000000E+000         
1319755906.016            0                         963                       2.7473827069E-002         -4.1327050383E+001        2.2710832544E+000         8.2306000000E+004         3.7402398498E+001         4.0239849801E-001         -1.2198502008E+002        -9.8502007780E-001        2.0000000000E+000         
1319755906.482            0                         963                       2.7473827069E-002         -4.1327050383E+001        2.2714236486E+000         8.2306000000E+004         3.7402380367E+001         4.0238036719E-001         -1.2198502001E+002        -9.8502001357E-001        2.0000000000E+000         
1319755906.963            0                         963                       2.7239939194E-002         -4.5390332605E+001        2.2714236486E+000         8.2307000000E+004         3.7402362068E+001         4.0236206762E-001         -1.2198501912E+002        -9.8501912164E-001        2.0000000000E+000         
1319755907.561            0                         963                       2.7239939194E-002         -4.5390332605E+001        2.2718296739E+000         8.2307000000E+004         3.7402342199E+001         4.0234219947E-001         -1.2198501228E+002        -9.8501227584E-001        2.0000000000E+000         
1319755907.961            0                         963                       2.7234006240E-002         -4.9831433735E+001        2.2718296739E+000         8.2308000000E+004         3.7402329361E+001         4.0232936078E-001         -1.2198500701E+002        -9.8500701303E-001        2.0000000000E+000         
1319755908.471            0                         963                       2.7234006240E-002         -4.9831433735E+001        2.2718296739E+000         8.2308000000E+004         3.7402315656E+001         4.0231565623E-001         -1.2198499626E+002        -9.8499626376E-001        2.0000000000E+000         
1319755908.939            0                         963                       2.7495134389E-002         -4.9831433735E+001        2.2718296739E+000         8.2309000000E+004         3.7402303450E+001         4.0230344955E-001         -1.2198498609E+002        -9.8498609023E-001        2.0000000000E+000         
1319755909.538            0                         963                       2.7495134389E-002         -4.9831433735E+001        2.2756827829E+000         8.2309000000E+004         3.7402291867E+001         4.0229186749E-001         -1.2198496968E+002        -9.8496968162E-001        2.0000000000E+000         
1319755910.009            0                         963                       2.7175156604E-002         -4.8150023639E+001        2.2756827829E+000         8.2310000000E+004         3.7402283605E+001         4.0228360457E-001         -1.2198495685E+002        -9.8495684890E-001        2.0000000000E+000         
1319755910.619            0                         963                       2.7175156604E-002         -4.8150023639E+001        2.2726897636E+000         8.2310000000E+004         3.7402276137E+001         4.0227613716E-001         -1.2198494050E+002        -9.8494049541E-001        2.0000000000E+000         
1319755911.089            0                         963                       2.7126514245E-002         -5.2943251299E+001        2.2726897636E+000         8.2311000000E+004         3.7402271485E+001         4.0227148521E-001         -1.2198492891E+002        -9.8492890785E-001        2.0000000000E+000         
1319755911.677            0                         963                       2.7126514245E-002         -5.2943251299E+001        2.2657945227E+000         8.2311000000E+004         3.7402267542E+001         4.0226754218E-001         -1.2198491614E+002        -9.8491613640E-001        2.0000000000E+000         
1319755912.158            0                         963                       2.6994968722E-002         -5.3065160399E+001        2.2657945227E+000         8.2312000000E+004         3.7402264936E+001         4.0226493593E-001         -1.2198490708E+002        -9.8490708282E-001        2.0000000000E+000         
1319755912.755            0                         963                       2.6994968722E-002         -5.3065160399E+001        2.2601051482E+000         8.2312000000E+004         3.7402262312E+001         4.0226231201E-001         -1.2198489722E+002        -9.8489722078E-001        2.0000000000E+000         
1319755913.226            0                         963                       2.7269520464E-002         -4.7514192489E+001        2.2601051482E+000         8.2313000000E+004         3.7402260574E+001         4.0226057397E-001         -1.2198488948E+002        -9.8488948010E-001        2.0000000000E+000         
1319755913.820            0                         963                       2.7269520464E-002         -4.7514192489E+001        2.2567264951E+000         8.2313000000E+004         3.7402258550E+001         4.0225855031E-001         -1.2198487974E+002        -9.8487973820E-001        2.0000000000E+000         
1319755914.289            0                         963                       2.7027123496E-002         -4.5883029969E+001        2.2567264951E+000         8.2314000000E+004         3.7402257375E+001         4.0225737485E-001         -1.2198486784E+002        -9.8486784343E-001        2.0000000000E+000         
1319755914.880            0                         963                       2.7027123496E-002         -4.5883029969E+001        2.2523687513E+000         8.2314000000E+004         3.7402255987E+001         4.0225598698E-001         -1.2198485193E+002        -9.8485192534E-001        2.0000000000E+000         
1319755915.296            0                         963                       2.6864165315E-002         -5.1504366985E+001        2.2523687513E+000         8.2315000000E+004         3.7402257999E+001         4.0225799932E-001         -1.2198483482E+002        -9.8483482297E-001        2.0000000000E+000         
1319755915.819            0                         963                       2.6864165315E-002         -5.1504366985E+001        2.2523687513E+000         8.2315000000E+004         3.7402260622E+001         4.0226062182E-001         -1.2198481314E+002        -9.8481313904E-001        2.0000000000E+000         
1319755916.297            0                         963                       2.6970444899E-002         -5.1504366985E+001        2.2523687513E+000         8.2316000000E+004         3.7402269068E+001         4.0226906770E-001         -1.2198479213E+002        -9.8479212528E-001        2.0000000000E+000         
1319755916.873            0                         963                       2.6970444899E-002         -5.1504366985E+001        2.2478885981E+000         8.2316000000E+004         3.7402280517E+001         4.0228051676E-001         -1.2198476655E+002        -9.8476655194E-001        2.0000000000E+000         
1319755917.348            0                         963                       2.7029552787E-002         -4.2457086986E+001        2.2478885981E+000         8.2317000000E+004         3.7402298418E+001         4.0229841805E-001         -1.2198474477E+002        -9.8474477436E-001        2.0000000000E+000         
1319755917.938            0                         963                       2.7029552787E-002         -4.2457086986E+001        2.2520745939E+000         8.2318000000E+004         3.7402321896E+001         4.0232189590E-001         -1.2198471778E+002        -9.8471778115E-001        2.0000000000E+000         
1319755918.402            0                         963                       2.7166868341E-002         -4.1091331159E+001        2.2520745939E+000         8.2318000000E+004         3.7402347930E+001         4.0234793047E-001         -1.2198469734E+002        -9.8469733916E-001        2.0000000000E+000         
1319755918.985            0                         963                       2.7166868341E-002         -4.1091331159E+001        2.2945269337E+000         8.2319000000E+004         3.7402381924E+001         4.0238192447E-001         -1.2198467253E+002        -9.8467253035E-001        2.0000000000E+000         
1319755919.467            0                         963                       2.8090852020E-002         -4.0785437149E+001        2.2945269337E+000         8.2319000000E+004         3.7402415476E+001         4.0241547577E-001         -1.2198465574E+002        -9.8465573908E-001        2.0000000000E+000         
1319755920.061            0                         963                       2.8090852020E-002         -4.0785437149E+001        2.3582544330E+000         8.2320000000E+004         3.7402458308E+001         4.0245830827E-001         -1.2198463567E+002        -9.8463567156E-001        2.0000000000E+000         
1319755920.556            0                         963                       2.8545824575E-002         -4.4060601624E+001        2.3582544330E+000         8.2320000000E+004         3.7402497063E+001         4.0249706330E-001         -1.2198462024E+002        -9.8462023795E-001        2.0000000000E+000         
1319755921.152            0                         963                       2.8545824575E-002         -4.4060601624E+001        2.3687371256E+000         8.2321000000E+004         3.7402545153E+001         4.0254515305E-001         -1.2198460109E+002        -9.8460108751E-001        2.0000000000E+000         
1319755921.631            0                         963                       2.8272372376E-002         -4.5368019647E+001        2.3687371256E+000         8.2321000000E+004         3.7402585265E+001         4.0258526451E-001         -1.2198458511E+002        -9.8458511478E-001        2.0000000000E+000         
1319755922.094            0                         963                       2.8272372376E-002         -4.5368019647E+001        2.3298868005E+000         8.2322000000E+004         3.7402624149E+001         4.0262414894E-001         -1.2198456939E+002        -9.8456938747E-001        2.0000000000E+000         
1319755922.481            0                         963                       2.7759447653E-002         -4.2763738037E+001        2.3298868005E+000         8.2322000000E+004         3.7402656770E+001         4.0265677033E-001         -1.2198455594E+002        -9.8455593599E-001        2.0000000000E+000         
1319755922.988            0                         963                       2.7759447653E-002         -4.2763738037E+001        2.3298868005E+000         8.2323000000E+004         3.7402699549E+001         4.0269954941E-001         -1.2198453828E+002        -9.8453827737E-001        2.0000000000E+000         
1319755923.443            0                         963                       2.7293137788E-002         -4.2763738037E+001        2.3298868005E+000         8.2323000000E+004         3.7402738100E+001         4.0273810020E-001         -1.2198452229E+002        -9.8452229451E-001        2.0000000000E+000         
1319755924.029            0                         963                       2.7293137788E-002         -4.2763738037E+001        2.2850206757E+000         8.2324000000E+004         3.7402787826E+001         4.0278782614E-001         -1.2198450181E+002        -9.8450180815E-001        2.0000000000E+000         
1319755924.497            0                         963                       2.7443384187E-002         -5.1724115854E+001        2.2850206757E+000         8.2324000000E+004         3.7402827734E+001         4.0282773398E-001         -1.2198448570E+002        -9.8448569912E-001        2.0000000000E+000         
1319755925.088            0                         963                       2.7443384187E-002         -5.1724115854E+001        2.2760566562E+000         8.2325000000E+004         3.7402877576E+001         4.0287757609E-001         -1.2198446582E+002        -9.8446581603E-001        2.0000000000E+000         
1319755925.556            0                         963                       2.7392596705E-002         -4.5678486048E+001        2.2760566562E+000         8.2325000000E+004         3.7402916174E+001         4.0291617368E-001         -1.2198445079E+002        -9.8445079362E-001        2.0000000000E+000         
1319755926.138            0                         963                       2.7392596705E-002         -4.5678486048E+001        2.2715397640E+000         8.2326000000E+004         3.7402963113E+001         4.0296311269E-001         -1.2198443355E+002        -9.8443354729E-001        2.0000000000E+000         
1319755926.589            0                         963                       2.7296545578E-002         -4.6398904870E+001        2.2715397640E+000         8.2326000000E+004         3.7402998380E+001         4.0299837954E-001         -1.2198442168E+002        -9.8442168088E-001        2.0000000000E+000         
1319755927.059            0                         963                       2.7296545578E-002         -4.6398904870E+001        2.2717553352E+000         8.2327000000E+004         3.7403033861E+001         4.0303386119E-001         -1.2198441015E+002        -9.8441015243E-001        2.0000000000E+000         
1319755927.529            0                         963                       2.7162915443E-002         -5.0671881870E+001        2.2717553352E+000         8.2327000000E+004         3.7403067079E+001         4.0306707922E-001         -1.2198440012E+002        -9.8440011628E-001        2.0000000000E+000         
1319755928.106            0                         963                       2.7162915443E-002         -5.0671881870E+001        2.2743752284E+000         8.2328000000E+004         3.7403105691E+001         4.0310569142E-001         -1.2198438866E+002        -9.8438866100E-001        2.0000000000E+000         
1319755928.573            0                         963                       2.7397312513E-002         -4.9689968036E+001        2.2743752284E+000         8.2328000000E+004         3.7403134010E+001         4.0313400960E-001         -1.2198438056E+002        -9.8438056058E-001        2.0000000000E+000         
1319755929.168            0                         963                       2.7397312513E-002         -4.9689968036E+001        2.2822300096E+000         8.2329000000E+004         3.7403166534E+001         4.0316653444E-001         -1.2198437154E+002        -9.8437153918E-001        2.0000000000E+000         
1319755929.562            0                         963                       2.7479956879E-002         -4.7277221068E+001        2.2822300096E+000         8.2329000000E+004         3.7403185388E+001         4.0318538754E-001         -1.2198436655E+002        -9.8436654642E-001        2.0000000000E+000         
1319755930.079            0                         963                       2.7479956879E-002         -4.7277221068E+001        2.2822300096E+000         8.2330000000E+004         3.7403207100E+001         4.0320709998E-001         -1.2198436089E+002        -9.8436089299E-001        2.0000000000E+000         
1319755930.544            0                         963                       2.7461260395E-002         -4.7277221068E+001        2.2822300096E+000         8.2330000000E+004         3.7403221905E+001         4.0322190488E-001         -1.2198435721E+002        -9.8435720988E-001        2.0000000000E+000         
1319755931.131            0                         963                       2.7461260395E-002         -4.7277221068E+001        2.2918125986E+000         8.2331000000E+004         3.7403236889E+001         4.0323688874E-001         -1.2198435362E+002        -9.8435361664E-001        2.0000000000E+000         
1319755931.595            0                         963                       2.7706076498E-002         -4.4962904190E+001        2.2918125986E+000         8.2331000000E+004         3.7403244528E+001         4.0324452788E-001         -1.2198435197E+002        -9.8435197493E-001        2.0000000000E+000         
1319755932.183            0                         963                       2.7706076498E-002         -4.4962904190E+001        2.2947653023E+000         8.2332000000E+004         3.7403250655E+001         4.0325065536E-001         -1.2198435068E+002        -9.8435068065E-001        2.0000000000E+000         
1319755932.657            0                         963                       2.7593416260E-002         -4.3818719968E+001        2.2947653023E+000         8.2332000000E+004         3.7403252711E+001         4.0325271102E-001         -1.2198435028E+002        -9.8435027538E-001        2.0000000000E+000         
1319755933.221            0                         963                       2.7593416260E-002         -4.3818719968E+001        2.2943466139E+000         8.2333000000E+004         3.7403253717E+001         4.0325371725E-001         -1.2198435012E+002        -9.8435011876E-001        2.0000000000E+000         
1319755933.682            0                         963                       2.7531260659E-002         -4.7286855767E+001        2.2943466139E+000         8.2333000000E+004         3.7403253711E+001         4.0325371134E-001         -1.2198435018E+002        -9.8435017807E-001        2.0000000000E+000         
1319755934.283            0                         963                       2.7531260659E-002         -4.7286855767E+001        2.2937052108E+000         8.2334000000E+004         3.7403253658E+001         4.0325365817E-001         -1.2198435023E+002        -9.8435023031E-001        2.0000000000E+000         
1319755934.742            0                         963                       2.7317839158E-002         -5.2014435543E+001        2.2937052108E+000         8.2334000000E+004         3.7403253599E+001         4.0325359918E-001         -1.2198435026E+002        -9.8435026007E-001        2.0000000000E+000         
1319755935.321            0                         963                       2.7317839158E-002         -5.2014435543E+001        2.2946873883E+000         8.2335000000E+004         3.7403253521E+001         4.0325352076E-001         -1.2198435029E+002        -9.8435029423E-001        2.0000000000E+000         
