EPOCH_TIME                ALARM_STATUS              CH4                       GPS_TIME                  GPS_ABS_LAT               GPS_REL_LAT               GPS_ABS_LONG              GPS_REL_LONG              GPS_FIT                   
1316238507.303            0                         1.9865203609E+000         2.0907000000E+004         3.7628203382E+001         6.2820338167E-001         -1.2240163129E+002        -4.0163129169E-001        2.0000000000E+000         
1316238508.384            0                         2.0833504559E+000         2.0908000000E+004         3.7628203383E+001         6.2820338289E-001         -1.2240163128E+002        -4.0163128191E-001        2.0000000000E+000         
1316238509.521            0                         2.0279054921E+000         2.0909000000E+004         3.7628203374E+001         6.2820337351E-001         -1.2240163130E+002        -4.0163129711E-001        2.0000000000E+000         
1316238510.584            0                         1.9806251175E+000         2.0910000000E+004         3.7628203747E+001         6.2820374656E-001         -1.2240163139E+002        -4.0163139130E-001        2.0000000000E+000         
1316238511.664            0                         1.9563430820E+000         2.0911000000E+004         3.7628206671E+001         6.2820667130E-001         -1.2240163199E+002        -4.0163199217E-001        2.0000000000E+000         
1316238512.764            0                         1.9088360215E+000         2.0912000000E+004         3.7628215671E+001         6.2821567089E-001         -1.2240163394E+002        -4.0163393855E-001        2.0000000000E+000         
1316238513.819            0                         1.8738770961E+000         2.0913000000E+004         3.7628234081E+001         6.2823408120E-001         -1.2240163826E+002        -4.0163826168E-001        2.0000000000E+000         
1316238514.889            0                         1.8564600877E+000         2.0914000000E+004         3.7628263874E+001         6.2826387371E-001         -1.2240164558E+002        -4.0164557590E-001        2.0000000000E+000         
1316238516.001            0                         1.8480226628E+000         2.0915000000E+004         3.7628307223E+001         6.2830722306E-001         -1.2240165603E+002        -4.0165602625E-001        2.0000000000E+000         
1316238517.082            0                         1.8446984190E+000         2.0917000000E+004         3.7628362676E+001         6.2836267647E-001         -1.2240166910E+002        -4.0166909866E-001        2.0000000000E+000         
1316238518.193            0                         1.8405772664E+000         2.0918000000E+004         3.7628435157E+001         6.2843515733E-001         -1.2240168553E+002        -4.0168553200E-001        2.0000000000E+000         
1316238519.291            0                         1.8469970180E+000         2.0919000000E+004         3.7628519736E+001         6.2851973555E-001         -1.2240170320E+002        -4.0170319765E-001        2.0000000000E+000         
1316238520.381            0                         1.8353858208E+000         2.0920000000E+004         3.7628615403E+001         6.2861540255E-001         -1.2240172134E+002        -4.0172133623E-001        2.0000000000E+000         
1316238521.497            0                         1.8289413841E+000         2.0921000000E+004         3.7628724265E+001         6.2872426478E-001         -1.2240173923E+002        -4.0173922527E-001        2.0000000000E+000         
1316238522.617            0                         1.8372548804E+000         2.0922000000E+004         3.7628843556E+001         6.2884355589E-001         -1.2240175674E+002        -4.0175674023E-001        2.0000000000E+000         
1316238523.677            0                         1.8287309824E+000         2.0923000000E+004         3.7628964510E+001         6.2896451045E-001         -1.2240177380E+002        -4.0177380075E-001        2.0000000000E+000         
1316238524.746            0                         1.8229455129E+000         2.0924000000E+004         3.7629091827E+001         6.2909182730E-001         -1.2240179012E+002        -4.0179011507E-001        2.0000000000E+000         
1316238525.833            0                         1.8215995207E+000         2.0925000000E+004         3.7629224472E+001         6.2922447215E-001         -1.2240180322E+002        -4.0180321807E-001        2.0000000000E+000         
1316238526.881            0                         1.8200368735E+000         2.0926000000E+004         3.7629354169E+001         6.2935416947E-001         -1.2240180851E+002        -4.0180850503E-001        2.0000000000E+000         
1316238527.982            0                         1.8194220718E+000         2.0927000000E+004         3.7629491831E+001         6.2949183061E-001         -1.2240180447E+002        -4.0180447339E-001        2.0000000000E+000         
1316238529.110            0                         1.8168691628E+000         2.0929000000E+004         3.7629634593E+001         6.2963459281E-001         -1.2240178715E+002        -4.0178714776E-001        2.0000000000E+000         
1316238530.203            0                         1.8181642071E+000         2.0930000000E+004         3.7629774896E+001         6.2977489574E-001         -1.2240175544E+002        -4.0175543952E-001        2.0000000000E+000         
1316238531.312            0                         1.8202756838E+000         2.0931000000E+004         3.7629916959E+001         6.2991695912E-001         -1.2240170816E+002        -4.0170815811E-001        2.0000000000E+000         
1316238532.392            0                         1.8200566140E+000         2.0932000000E+004         3.7630054339E+001         6.3005433868E-001         -1.2240164816E+002        -4.0164816004E-001        2.0000000000E+000         
1316238533.475            0                         1.8204498153E+000         2.0933000000E+004         3.7630190400E+001         6.3019039950E-001         -1.2240157443E+002        -4.0157442784E-001        2.0000000000E+000         
1316238534.589            0                         1.8210963709E+000         2.0934000000E+004         3.7630329843E+001         6.3032984269E-001         -1.2240148938E+002        -4.0148937852E-001        2.0000000000E+000         
1316238535.663            0                         1.8171734159E+000         2.0935000000E+004         3.7630465025E+001         6.3046502481E-001         -1.2240140279E+002        -4.0140279159E-001        2.0000000000E+000         
1316238536.737            0                         1.8166050784E+000         2.0936000000E+004         3.7630601240E+001         6.3060124007E-001         -1.2240131479E+002        -4.0131479058E-001        2.0000000000E+000         
1316238537.821            0                         1.8173411340E+000         2.0937000000E+004         3.7630738107E+001         6.3073810723E-001         -1.2240122523E+002        -4.0122522907E-001        2.0000000000E+000         
1316238538.895            0                         1.8171698912E+000         2.0938000000E+004         3.7630872050E+001         6.3087205002E-001         -1.2240113727E+002        -4.0113726710E-001        2.0000000000E+000         
1316238540.005            0                         1.8182058119E+000         2.0939000000E+004         3.7631009458E+001         6.3100945825E-001         -1.2240105258E+002        -4.0105258499E-001        2.0000000000E+000         
1316238541.096            0                         1.8167727498E+000         2.0941000000E+004         3.7631141001E+001         6.3114100062E-001         -1.2240097662E+002        -4.0097662085E-001        2.0000000000E+000         
1316238542.205            0                         1.8149881079E+000         2.0942000000E+004         3.7631261120E+001         6.3126112004E-001         -1.2240090704E+002        -4.0090704287E-001        2.0000000000E+000         
1316238543.328            0                         1.8248570132E+000         2.0943000000E+004         3.7631365327E+001         6.3136532703E-001         -1.2240084516E+002        -4.0084516065E-001        2.0000000000E+000         
1316238544.448            0                         1.8511671912E+000         2.0944000000E+004         3.7631451729E+001         6.3145172869E-001         -1.2240079170E+002        -4.0079169793E-001        2.0000000000E+000         
1316238545.536            0                         1.8653669406E+000         2.0945000000E+004         3.7631524059E+001         6.3152405931E-001         -1.2240074670E+002        -4.0074669602E-001        2.0000000000E+000         
1316238546.607            0                         1.8824861335E+000         2.0946000000E+004         3.7631592054E+001         6.3159205436E-001         -1.2240070915E+002        -4.0070915028E-001        2.0000000000E+000         
1316238547.738            0                         1.8838573267E+000         2.0947000000E+004         3.7631663513E+001         6.3166351288E-001         -1.2240067694E+002        -4.0067693798E-001        2.0000000000E+000         
1316238548.831            0                         1.8664877284E+000         2.0948000000E+004         3.7631732071E+001         6.3173207054E-001         -1.2240065417E+002        -4.0065417313E-001        2.0000000000E+000         
1316238549.881            0                         1.8510399691E+000         2.0949000000E+004         3.7631795521E+001         6.3179552113E-001         -1.2240064171E+002        -4.0064171170E-001        2.0000000000E+000         
1316238550.956            0                         1.8401074800E+000         2.0950000000E+004         3.7631855428E+001         6.3185542785E-001         -1.2240064000E+002        -4.0064000115E-001        2.0000000000E+000         
1316238552.050            0                         1.8335133917E+000         2.0951000000E+004         3.7631908447E+001         6.3190844713E-001         -1.2240064969E+002        -4.0064969245E-001        2.0000000000E+000         
1316238553.135            0                         1.8294031006E+000         2.0953000000E+004         3.7631950346E+001         6.3195034569E-001         -1.2240066642E+002        -4.0066641593E-001        2.0000000000E+000         
1316238554.218            0                         1.8207529498E+000         2.0954000000E+004         3.7631984280E+001         6.3198428019E-001         -1.2240068699E+002        -4.0068698653E-001        2.0000000000E+000         
1316238555.295            0                         1.8176260671E+000         2.0955000000E+004         3.7632014561E+001         6.3201456129E-001         -1.2240071119E+002        -4.0071119293E-001        2.0000000000E+000         
1316238556.419            0                         1.8158514206E+000         2.0956000000E+004         3.7632051220E+001         6.3205122028E-001         -1.2240074301E+002        -4.0074300879E-001        2.0000000000E+000         
