EPOCH_TIME                ALARM_STATUS              GPS_ABS_LONG              GPS_ABS_LAT               CH4                       
1316238507.303            0                         -1.2240163129e+02         3.7628203382e+01          1.9865203609e+00          
1316238508.384            0                         -1.2240163128e+02         3.7628203383e+01          2.0833504559e+00          
1316238509.521            0                         -1.2240163130e+02         3.7628203374e+01          2.0279054921e+00          
1316238510.584            0                         -1.2240163139e+02         3.7628203747e+01          1.9806251175e+00          
1316238511.664            0                         -1.2240163199e+02         3.7628206671e+01          1.9563430820e+00          
1316238512.764            0                         -1.2240163394e+02         3.7628215671e+01          1.9088360215e+00          
1316238513.819            0                         -1.2240163826e+02         3.7628234081e+01          1.8738770961e+00          
1316238514.889            0                         -1.2240164558e+02         3.7628263874e+01          1.8564600877e+00          
1316238516.001            0                         -1.2240165603e+02         3.7628307223e+01          1.8480226628e+00          
1316238517.082            0                         -1.2240166910e+02         3.7628362676e+01          1.8446984190e+00          
1316238518.193            0                         -1.2240168553e+02         3.7628435157e+01          1.8405772664e+00          
1316238519.291            0                         -1.2240170320e+02         3.7628519736e+01          1.8469970180e+00          
1316238520.381            0                         -1.2240172134e+02         3.7628615403e+01          1.8353858208e+00          
1316238521.497            0                         -1.2240173923e+02         3.7628724265e+01          1.8289413841e+00          
1316238522.617            0                         -1.2240175674e+02         3.7628843556e+01          1.8372548804e+00          
1316238523.677            0                         -1.2240177380e+02         3.7628964510e+01          1.8287309824e+00          
1316238524.746            0                         -1.2240179012e+02         3.7629091827e+01          1.8229455129e+00          
1316238525.833            0                         -1.2240180322e+02         3.7629224472e+01          1.8215995207e+00          
1316238526.881            0                         -1.2240180851e+02         3.7629354169e+01          1.8200368735e+00          
1316238527.982            0                         -1.2240180447e+02         3.7629491831e+01          1.8194220718e+00          
1316238529.110            0                         -1.2240178715e+02         3.7629634593e+01          1.8168691628e+00          
1316238530.203            0                         -1.2240175544e+02         3.7629774896e+01          1.8181642071e+00          
1316238531.312            0                         -1.2240170816e+02         3.7629916959e+01          1.8202756838e+00          
1316238532.392            0                         -1.2240164816e+02         3.7630054339e+01          1.8200566140e+00          
1316238533.475            0                         -1.2240157443e+02         3.7630190400e+01          1.8204498153e+00          
1316238534.589            0                         -1.2240148938e+02         3.7630329843e+01          1.8210963709e+00          
1316238535.663            0                         -1.2240140279e+02         3.7630465025e+01          1.8171734159e+00          
1316238536.737            0                         -1.2240131479e+02         3.7630601240e+01          1.8166050784e+00          
1316238537.821            0                         -1.2240122523e+02         3.7630738107e+01          1.8173411340e+00          
1316238538.895            0                         -1.2240113727e+02         3.7630872050e+01          1.8171698912e+00          
1316238540.005            0                         -1.2240105258e+02         3.7631009458e+01          1.8182058119e+00          
1316238541.096            0                         -1.2240097662e+02         3.7631141001e+01          1.8167727498e+00          
1316238542.205            0                         -1.2240090704e+02         3.7631261120e+01          1.8149881079e+00          
1316238543.328            0                         -1.2240084516e+02         3.7631365327e+01          1.8248570132e+00          
1316238544.448            0                         -1.2240079170e+02         3.7631451729e+01          1.8511671912e+00          
1316238545.536            0                         -1.2240074670e+02         3.7631524059e+01          1.8653669406e+00          
1316238546.607            0                         -1.2240070915e+02         3.7631592054e+01          1.8824861335e+00          
1316238547.738            0                         -1.2240067694e+02         3.7631663513e+01          1.8838573267e+00          
1316238548.831            0                         -1.2240065417e+02         3.7631732071e+01          1.8664877284e+00          
1316238549.881            0                         -1.2240064171e+02         3.7631795521e+01          1.8510399691e+00          
1316238550.956            0                         -1.2240064000e+02         3.7631855428e+01          1.8401074800e+00          
1316238552.050            0                         -1.2240064969e+02         3.7631908447e+01          1.8335133917e+00          
1316238553.135            0                         -1.2240066642e+02         3.7631950346e+01          1.8294031006e+00          
1316238554.218            0                         -1.2240068699e+02         3.7631984280e+01          1.8207529498e+00          
1316238555.295            0                         -1.2240071119e+02         3.7632014561e+01          1.8176260671e+00          
1316238556.419            0                         -1.2240074301e+02         3.7632051220e+01          1.8158514206e+00          
1316238557.517            0                         -1.2240078297e+02         3.7632099557e+01          1.8155025344e+00          
1316238558.617            0                         -1.2240083174e+02         3.7632161549e+01          1.8128673483e+00          
1316238559.729            0                         -1.2240089023e+02         3.7632235673e+01          1.8137919176e+00          
1316238560.791            0                         -1.2240095578e+02         3.7632315413e+01          1.8130647878e+00          
1316238561.873            0                         -1.2240103289e+02         3.7632404285e+01          1.8134127573e+00          
1316238562.958            0                         -1.2240112423e+02         3.7632496202e+01          1.8118264238e+00          
1316238564.051            0                         -1.2240123413e+02         3.7632586837e+01          1.8143519158e+00          
1316238565.129            0                         -1.2240136171e+02         3.7632670275e+01          1.8131036271e+00          
1316238566.205            0                         -1.2240150255e+02         3.7632749630e+01          1.8133749351e+00          
1316238567.274            0                         -1.2240164939e+02         3.7632829017e+01          1.8143624561e+00          
1316238568.362            0                         -1.2240180086e+02         3.7632912175e+01          1.8169605201e+00          
1316238569.447            0                         -1.2240194991e+02         3.7632998145e+01          1.8161058484e+00          
1316238570.513            0                         -1.2240208944e+02         3.7633089529e+01          1.8176661800e+00          
1316238571.593            0                         -1.2240221555e+02         3.7633193872e+01          1.8172107123e+00          
1316238572.668            0                         -1.2240231788e+02         3.7633313855e+01          1.8155974700e+00          
1316238573.765            0                         -1.2240239662e+02         3.7633453444e+01          1.8179273004e+00          
1316238574.876            0                         -1.2240245241e+02         3.7633609309e+01          1.8197968327e+00          
1316238575.953            0                         -1.2240249282e+02         3.7633771566e+01          1.8222932713e+00          
1316238577.062            0                         -1.2240253071e+02         3.7633948071e+01          1.8211918905e+00          
1316238578.156            0                         -1.2240256891e+02         3.7634130765e+01          1.8190577692e+00          
1316238579.231            0                         -1.2240260948e+02         3.7634317052e+01          1.8163726324e+00          
1316238580.293            0                         -1.2240265406e+02         3.7634505428e+01          1.8154948489e+00          
1316238581.383            0                         -1.2240270368e+02         3.7634701818e+01          1.8150187903e+00          
1316238582.454            0                         -1.2240275529e+02         3.7634897798e+01          1.8166953185e+00          
1316238583.514            0                         -1.2240281103e+02         3.7635094182e+01          1.8191971345e+00          
1316238584.596            0                         -1.2240287753e+02         3.7635294868e+01          1.8166849807e+00          
1316238585.684            0                         -1.2240295302e+02         3.7635495171e+01          1.8173333559e+00          
1316238586.745            0                         -1.2240303117e+02         3.7635690569e+01          1.8174631393e+00          
1316238587.801            0                         -1.2240312155e+02         3.7635884305e+01          1.8174299501e+00          
1316238588.888            0                         -1.2240322196e+02         3.7636079159e+01          1.8230170242e+00          
1316238590.022            0                         -1.2240331451e+02         3.7636262985e+01          1.8286653505e+00          
1316238591.135            0                         -1.2240331918e+02         3.7636272357e+01          1.8262102388e+00          
1316238592.198            0                         -1.2240331918e+02         3.7636272357e+01          1.8183245042e+00          
1316238593.308            0                         -1.2240331918e+02         3.7636272357e+01          1.8123322007e+00          
1316238594.393            0                         -1.2240331918e+02         3.7636272357e+01          1.8119331709e+00          
