EPOCH_TIME                ALARM_STATUS              INST_STATUS               GPS_ABS_LAT               GPS_ABS_LONG              GPS_FIT                   
1300000000.000            0                         963                       3.7001802163e+01          -1.2000000000e+02         2.0000000000e+00          
1300000001.000            0                         963                       3.7001800722e+01          -1.1999991015e+02         2.0000000000e+00          
1300000002.000            0                         963                       3.7001796399e+01          -1.1999982044e+02         2.0000000000e+00          
1300000003.000            0                         963                       3.7001789203e+01          -1.1999973102e+02         2.0000000000e+00          
1300000004.000            0                         963                       3.7001779145e+01          -1.1999964203e+02         2.0000000000e+00          
1300000005.000            0                         963                       3.7001766240e+01          -1.1999955361e+02         2.0000000000e+00          
1300000006.000            0                         963                       3.7001750510e+01          -1.1999946591e+02         2.0000000000e+00          
1300000007.000            0                         963                       3.7001731979e+01          -1.1999937906e+02         2.0000000000e+00          
1300000008.000            0                         963                       3.7001710677e+01          -1.1999929320e+02         2.0000000000e+00          
1300000009.000            0                         963                       3.7001686639e+01          -1.1999920848e+02         2.0000000000e+00          
1300000010.000            0                         963                       3.7001659902e+01          -1.1999912502e+02         2.0000000000e+00          
1300000011.000            0                         963                       3.7001630510e+01          -1.1999904296e+02         2.0000000000e+00          
1300000012.000            0                         963                       3.7001598510e+01          -1.1999896243e+02         2.0000000000e+00          
1300000013.000            0                         963                       3.7001563952e+01          -1.1999888356e+02         2.0000000000e+00          
1300000014.000            0                         963                       3.7001526892e+01          -1.1999880648e+02         2.0000000000e+00          
1300000015.000            0                         963                       3.7001487390e+01          -1.1999873131e+02         2.0000000000e+00          
1300000016.000            0                         963                       3.7001445508e+01          -1.1999865816e+02         2.0000000000e+00          
1300000017.000            0                         963                       3.7001401313e+01          -1.1999858717e+02         2.0000000000e+00          
1300000018.000            0                         963                       3.7001354877e+01          -1.1999851843e+02         2.0000000000e+00          
1300000019.000            0                         963                       3.7001306273e+01          -1.1999845206e+02         2.0000000000e+00          
1300000020.000            0                         963                       3.7001255579e+01          -1.1999838818e+02         2.0000000000e+00          
1300000021.000            0                         963                       3.7001202877e+01          -1.1999832686e+02         2.0000000000e+00          
1300000022.000            0                         963                       3.7001148250e+01          -1.1999826823e+02         2.0000000000e+00          
1300000023.000            0                         963                       3.7001091787e+01          -1.1999821237e+02         2.0000000000e+00          
1300000024.000            0                         963                       3.7001033577e+01          -1.1999815936e+02         2.0000000000e+00          
1300000025.000            0                         963                       3.7000973713e+01          -1.1999810930e+02         2.0000000000e+00          
1300000026.000            0                         963                       3.7000912292e+01          -1.1999806227e+02         2.0000000000e+00          
1300000027.000            0                         963                       3.7000849411e+01          -1.1999801833e+02         2.0000000000e+00          
1300000028.000            0                         963                       3.7000785171e+01          -1.1999797757e+02         2.0000000000e+00          
1300000029.000            0                         963                       3.7000719675e+01          -1.1999794004e+02         2.0000000000e+00          
1300000030.000            0                         963                       3.7000653028e+01          -1.1999790580e+02         2.0000000000e+00          
1300000031.000            0                         963                       3.7000585336e+01          -1.1999787492e+02         2.0000000000e+00          
1300000032.000            0                         963                       3.7000516708e+01          -1.1999784744e+02         2.0000000000e+00          
1300000033.000            0                         963                       3.7000447253e+01          -1.1999782340e+02         2.0000000000e+00          
1300000034.000            0                         963                       3.7000377082e+01          -1.1999780284e+02         2.0000000000e+00          
1300000035.000            0                         963                       3.7000306309e+01          -1.1999778580e+02         2.0000000000e+00          
1300000036.000            0                         963                       3.7000235045e+01          -1.1999777230e+02         2.0000000000e+00          
1300000037.000            0                         963                       3.7000163405e+01          -1.1999776236e+02         2.0000000000e+00          
1300000038.000            0                         963                       3.7000091504e+01          -1.1999775600e+02         2.0000000000e+00          
1300000039.000            0                         963                       3.7000019456e+01          -1.1999775323e+02         2.0000000000e+00          
1300000040.000            0                         963                       3.6999947378e+01          -1.1999775406e+02         2.0000000000e+00          
1300000041.000            0                         963                       3.6999875383e+01          -1.1999775848e+02         2.0000000000e+00          
1300000042.000            0                         963                       3.6999803588e+01          -1.1999776649e+02         2.0000000000e+00          
1300000043.000            0                         963                       3.6999732107e+01          -1.1999777807e+02         2.0000000000e+00          
1300000044.000            0                         963                       3.6999661055e+01          -1.1999779320e+02         2.0000000000e+00          
1300000045.000            0                         963                       3.6999590545e+01          -1.1999781187e+02         2.0000000000e+00          
1300000046.000            0                         963                       3.6999520690e+01          -1.1999783403e+02         2.0000000000e+00          
1300000047.000            0                         963                       3.6999451601e+01          -1.1999785966e+02         2.0000000000e+00          
1300000048.000            0                         963                       3.6999383390e+01          -1.1999788871e+02         2.0000000000e+00          
1300000049.000            0                         963                       3.6999316166e+01          -1.1999792115e+02         2.0000000000e+00          
1300000050.000            0                         963                       3.6999250035e+01          -1.1999795690e+02         2.0000000000e+00          
1300000051.000            0                         963                       3.6999185105e+01          -1.1999799593e+02         2.0000000000e+00          
1300000052.000            0                         963                       3.6999121478e+01          -1.1999803816e+02         2.0000000000e+00          
1300000053.000            0                         963                       3.6999059256e+01          -1.1999808353e+02         2.0000000000e+00          
1300000054.000            0                         963                       3.6998998539e+01          -1.1999813197e+02         2.0000000000e+00          
1300000055.000            0                         963                       3.6998939425e+01          -1.1999818339e+02         2.0000000000e+00          
1300000056.000            0                         963                       3.6998882007e+01          -1.1999823772e+02         2.0000000000e+00          
1300000057.000            0                         963                       3.6998826378e+01          -1.1999829487e+02         2.0000000000e+00          
1300000058.000            0                         963                       3.6998772626e+01          -1.1999835475e+02         2.0000000000e+00          
1300000059.000            0                         963                       3.6998720838e+01          -1.1999841726e+02         2.0000000000e+00          
1300000060.000            0                         963                       3.6998671096e+01          -1.1999848230e+02         2.0000000000e+00          
1300000061.000            0                         963                       3.6998623480e+01          -1.1999854977e+02         2.0000000000e+00          
1300000062.000            0                         963                       3.6998578067e+01          -1.1999861956e+02         2.0000000000e+00          
1300000063.000            0                         963                       3.6998534928e+01          -1.1999869156e+02         2.0000000000e+00          
1300000064.000            0                         963                       3.6998494133e+01          -1.1999876566e+02         2.0000000000e+00          
1300000065.000            0                         963                       3.6998455747e+01          -1.1999884172e+02         2.0000000000e+00          
1300000066.000            0                         963                       3.6998419831e+01          -1.1999891964e+02         2.0000000000e+00          
1300000067.000            0                         963                       3.6998386443e+01          -1.1999899929e+02         2.0000000000e+00          
1300000068.000            0                         963                       3.6998355637e+01          -1.1999908054e+02         2.0000000000e+00          
1300000069.000            0                         963                       3.6998327461e+01          -1.1999916326e+02         2.0000000000e+00          
1300000070.000            0                         963                       3.6998301962e+01          -1.1999924732e+02         2.0000000000e+00          
1300000071.000            0                         963                       3.6998279178e+01          -1.1999933258e+02         2.0000000000e+00          
1300000072.000            0                         963                       3.6998259148e+01          -1.1999941891e+02         2.0000000000e+00          
1300000073.000            0                         963                       3.6998241902e+01          -1.1999950617e+02         2.0000000000e+00          
1300000074.000            0                         963                       3.6998227469e+01          -1.1999959422e+02         2.0000000000e+00          
1300000075.000            0                         963                       3.6998215872e+01          -1.1999968292e+02         2.0000000000e+00          
1300000076.000            0                         963                       3.6998207129e+01          -1.1999977212e+02         2.0000000000e+00          
1300000077.000            0                         963                       3.6998201254e+01          -1.1999986170e+02         2.0000000000e+00          
1300000078.000            0                         963                       3.6998198257e+01          -1.1999995149e+02         2.0000000000e+00          
1300000079.000            0                         963                       3.6998198142e+01          -1.2000004136e+02         2.0000000000e+00          
1300000080.000            0                         963                       3.6998200910e+01          -1.2000013116e+02         2.0000000000e+00          
1300000081.000            0                         963                       3.6998206556e+01          -1.2000022075e+02         2.0000000000e+00          
1300000082.000            0                         963                       3.6998215071e+01          -1.2000031000e+02         2.0000000000e+00          
1300000083.000            0                         963                       3.6998226441e+01          -1.2000039874e+02         2.0000000000e+00          
1300000084.000            0                         963                       3.6998240649e+01          -1.2000048685e+02         2.0000000000e+00          
1300000085.000            0                         963                       3.6998257672e+01          -1.2000057417e+02         2.0000000000e+00          
1300000086.000            0                         963                       3.6998277482e+01          -1.2000066058e+02         2.0000000000e+00          
1300000087.000            0                         963                       3.6998300047e+01          -1.2000074594e+02         2.0000000000e+00          
1300000088.000            0                         963                       3.6998325332e+01          -1.2000083010e+02         2.0000000000e+00          
1300000089.000            0                         963                       3.6998353296e+01          -1.2000091293e+02         2.0000000000e+00          
1300000090.000            0                         963                       3.6998383895e+01          -1.2000099430e+02         2.0000000000e+00          
1300000091.000            0                         963                       3.6998417079e+01          -1.2000107408e+02         2.0000000000e+00          
1300000092.000            0                         963                       3.6998452795e+01          -1.2000115214e+02         2.0000000000e+00          
1300000093.000            0                         963                       3.6998490987e+01          -1.2000122836e+02         2.0000000000e+00          
1300000094.000            0                         963                       3.6998531592e+01          -1.2000130261e+02         2.0000000000e+00          
1300000095.000            0                         963                       3.6998574547e+01          -1.2000137478e+02         2.0000000000e+00          
1300000096.000            0                         963                       3.6998619782e+01          -1.2000144475e+02         2.0000000000e+00          
1300000097.000            0                         963                       3.6998667225e+01          -1.2000151241e+02         2.0000000000e+00          
1300000098.000            0                         963                       3.6998716801e+01          -1.2000157765e+02         2.0000000000e+00          
1300000099.000            0                         963                       3.6998768429e+01          -1.2000164037e+02         2.0000000000e+00          
1300000100.000            0                         963                       3.6998822027e+01          -1.2000170046e+02         2.0000000000e+00          
1300000101.000            0                         963                       3.6998877510e+01          -1.2000175783e+02         2.0000000000e+00          
1300000102.000            0                         963                       3.6998934789e+01          -1.2000181239e+02         2.0000000000e+00          
1300000103.000            0                         963                       3.6998993772e+01          -1.2000186405e+02         2.0000000000e+00          
1300000104.000            0                         963                       3.6999054365e+01          -1.2000191272e+02         2.0000000000e+00          
1300000105.000            0                         963                       3.6999116470e+01          -1.2000195834e+02         2.0000000000e+00          
1300000106.000            0                         963                       3.6999179989e+01          -1.2000200082e+02         2.0000000000e+00          
1300000107.000            0                         963                       3.6999244819e+01          -1.2000204011e+02         2.0000000000e+00          
