  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(18_16)Mean,    d(D_H)Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,     days_Mean,   d(18_16)_SD,     d(D_H)_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,  ORGANIC_BASE,ORGANIC_MEOH_AMPL, ORGANIC_SLOPE,ORGANIC_CH4CONC,ORGANIC_C2H6CONC,ORGANIC_CM_SHIFT, ORGANIC_STDEV,     ORGANIC_Y,    ORGANIC_77,    ORGANIC_82,ORGANIC_SPLINEMAX,ORGANIC_SQUISH,     GALPEAK77,     GALPEAK82,   H2O_Y_EFF_A, STANDARD_BASE,  GALPEAK77_SD,  GALPEAK82_SD,STANDARD_BASE_Sl,STANDARD_STDEV,     SPLINEMAX,SPLINEMAX_STDEV,      Tray,  Sample,     Job,    Method
     1,    P-1332,   2010/06/04 17:07:13,           1-01,       1,       -24.842,      -387.667,         20501,      -1,    1,                                  Pic 00,                               from frig,                 H2O,     154.72043,         0.488,         1.521,            90,         0.008,        -0.021,          8.05,     986.51184,       0.00037,     -30.79904,      -0.00074,       0.00000,       0.00001,       4.49088,       1.03512,     -16.30733,     -38.27196,    2872.91713,       0.26805,     -22.89739,     -45.77703,       1.06473,     993.32165,       2.61621,       0.35825,       0.19815,       4.50049,    2878.27584,      12.66330,  MT1-Rear,       1,      29,  5ulnoRns
     2,    P-1332,   2010/06/04 17:16:28,           1-01,       2,       -24.743,      -381.223,         20088,      -1,    1,                                  Pic 00,                               from frig,                 H2O,     154.72683,         0.421,         1.890,            93,        -0.012,        -0.008,          7.90,     989.23318,       0.00030,     -28.90043,      -0.00073,       0.00000,       0.00000,       4.32004,       1.03409,     -16.09815,     -36.65422,    2815.40665,       0.27136,     -22.08628,     -43.77072,       1.06165,     995.49856,       2.24188,       0.38120,       0.21351,       4.35867,    2820.30900,      13.05929,  MT1-Rear,       1,      29,  5ulnoRns
     3,    P-1332,   2010/06/04 17:25:43,           1-01,       3,       -24.876,      -380.083,         21097,      -1,    1,                                  Pic 00,                               from frig,                 H2O,     154.73325,         0.443,         1.286,           107,         0.011,        -0.024,         10.29,     993.26272,       0.00029,     -30.58899,      -0.00083,       0.00000,       0.00001,       4.34609,       1.03656,     -17.39673,     -38.26799,    2956.77246,       0.26606,     -23.49570,     -45.74307,       1.06451,     999.69073,       2.43000,       0.35976,       0.31349,       4.64760,    2961.89189,      14.98614,  MT1-Rear,       1,      29,  5ulnoRns
     4,    P-1332,   2010/06/04 17:34:59,           1-01,       4,       -24.554,      -378.914,         20742,       0,    1,                                  Pic 00,                               from frig,                 H2O,     154.73963,         0.506,         2.202,           100,         0.004,         0.046,         10.31,     993.95271,       0.00034,     -29.50207,      -0.00073,       0.00000,      -0.00001,       4.11713,       1.03565,     -15.43369,     -37.29396,    2907.23566,       0.26293,     -21.50148,     -44.77678,       1.05951,    1000.65338,       2.75315,       0.41678,       0.32453,       4.56766,    2912.11173,      14.10978,  MT1-Rear,       1,      29,  5ulnoRns
     5,    P-1332,   2010/06/04 17:44:14,           1-01,       5,       -24.819,      -375.030,         20836,       0,    1,                                  Pic 00,                               from frig,                 H2O,     154.74608,         0.549,        20.152,            94,         0.011,         0.560,          9.10,     995.27059,       0.00044,     -30.30641,      -0.00085,       0.00000,      -0.00001,       4.37385,       1.03594,     -16.02986,     -36.85821,    2919.79903,       0.26696,     -23.00161,     -44.29131,       1.06619,    1002.10296,       2.98761,       3.53074,       0.35047,       4.62542,    2925.28413,      13.21969,  MT1-Rear,       1,      29,  5ulnoRns
     6,    P-1332,   2010/06/04 17:53:30,           1-01,       6,       -24.643,      -377.575,         20843,       0,    1,                                  Pic 00,                               from frig,                 H2O,     154.75249,         0.476,         2.062,            91,         0.006,         0.006,         10.57,     996.68571,       0.00031,     -30.46586,      -0.00075,       0.00000,       0.00000,       4.43781,       1.03596,     -15.67087,     -37.39814,    2921.07994,       0.26450,     -22.04640,     -44.75790,       1.06590,    1003.12016,       2.60436,       0.42115,       0.41257,       4.51803,    2926.33044,      12.76967,  MT1-Rear,       1,      29,  5ulnoRns
     7,    P-1332,   2010/06/04 18:02:46,           1-01,       7,       -24.855,      -378.577,         21037,       0,    1,                                  Pic 00,                               from frig,                 H2O,     154.75895,         0.467,         1.329,            96,         0.002,        -0.023,          8.63,    1000.58116,       0.00027,     -31.16454,      -0.00082,       0.00000,       0.00000,       4.54300,       1.03643,     -17.16727,     -37.86837,    2948.26270,       0.26952,     -23.34028,     -45.34726,       1.06660,    1006.96336,       2.57782,       0.34287,       0.37245,       4.64226,    2953.50077,      13.52387,  MT1-Rear,       1,      29,  5ulnoRns
     8,    P-1332,   2010/06/04 18:12:02,           1-01,       8,       -24.786,      -378.292,         20966,       0,    1,                                  Pic 00,                               from frig,                 H2O,     154.76539,         0.345,         1.262,           108,        -0.006,        -0.005,          9.92,    1002.27146,       0.00023,     -30.77490,      -0.00077,       0.00000,       0.00001,       4.39001,       1.03624,     -16.96038,     -37.60943,    2938.48121,       0.25874,     -22.91477,     -45.14506,       1.06378,    1008.64058,       1.90891,       0.33359,       0.39522,       4.62722,    2943.52007,      15.16383,  MT1-Rear,       1,      29,  5ulnoRns
     9,    P-1333,   2010/06/04 18:21:17,           1-02,       1,       -29.178,      -412.233,         20082,      -1,    1,                                      CG,                               from frig,                 H2O,     154.77183,         0.462,         1.100,            94,         0.004,        -0.014,          8.58,     999.34027,       0.00029,     -31.27929,      -0.00080,       0.00000,      -0.00001,       4.68097,       1.03413,     -39.11009,     -41.70451,    2814.09872,       0.27023,     -45.43161,     -49.01635,       1.06829,    1005.71627,       2.43560,       0.31190,       0.31806,       4.47438,    2819.50528,      13.13456,  MT1-Rear,       2,      29,  5ulnoRns
    10,    P-1333,   2010/06/04 18:30:33,           1-02,       2,       -29.295,      -418.920,         20829,      -1,    1,                                      CG,                               from frig,                 H2O,     154.77826,         0.601,         1.749,           106,         0.000,        -0.046,         10.26,    1000.28707,       0.00033,     -32.25137,      -0.00086,       0.00000,       0.00002,       4.94075,       1.03595,     -40.84915,     -44.32922,    2918.67745,       0.26441,     -47.44808,     -51.99738,       1.06908,    1007.03806,       3.29567,       0.45061,       0.40117,       4.68193,    2924.25824,      14.88180,  MT1-Rear,       2,      29,  5ulnoRns
