Name,Start Time,Stop Time,Species,Temperature,Chamber
LM1A,1372861765.79,1372862050.60,All,31.511125,chamber1
LM2,1372862786.03,1372863152.32,All,30.65324242,chamber1
LM3A,1372863867.13,1372864163.91,All,32.20591667,chamber1
LM4,1372864762.88,1372865015.98,All,36.44329412,chamber1
LM5B,1372865897.94,1372866255.84,All,28.55252,chamber1
HM5B,1372867123.76,1372867385.19,All,32.68811111,chamber2
HM4,1372867616.31,1372867861.29,All,32.21252941,chamber2
HM3A,1372868116.70,1372868375.62,All,35.62058824,chamber2
HM2,1372868628.24,1372868966.75,All,34.8355,chamber2
HM1A,1372869243.54,1372869493.42,All,32.69811111,chamber2
