"Tray","Vial","Identifier 1","Identifier 2"
2,1,"W-98593 /  / 208/808/","NV2642SW"
2,2,"W-62000 /  / 208/808/","Tap Water Ref"
2,3,"W-98594 /  / 208/808/","NV2735SW"
2,4,"W-98494 /  / 208/808/","NV2135SW"
2,5,"W-98595 /  / 208/808/","NV2746SW"
2,6,"W-62000 /  / 208/808/","Tap Water Ref"
2,7,"W-98596 /  / 208/808/","NV2791SW"
2,8,"W-98597 /  / 208/808/","NV2867SW"
2,9,"W-98598 /  / 208/808/","NV2900SW"
2,10,"W-62000 /  / 208/808/","Tap Water Ref"
2,11,"W-63333 /  / 208/808/","South Pole Water"
2,12,"W-63333 /  / 208/808/","South Pole Water"
